Nr	ORT	Begin Time	End Time	Duration	
240	sull'obiettivo	89850	91080	1230	
241	<inspiration>	91080	91580	500	
242	<ehm>	91580	92521	941	
243	del	92521	92723	202	
244	museo	92723	93190	467	
245	per	93190	93357	167	
246	l'appunto	93357	94063	706	
247	<inspiration>	94063	94562	499	
248	<eeh>	94562	94947	385	
249	oppure	94947	95440	493	
250	documentare	95440	96150	710	
251	anche	96150	96440	290	
252	tradizioni	96440	97370	930	
253	gloriose	97370	98152	782	
254	<breath>	98152	98600	448	
255	<sp>	98600	98838	238	
256	<tongue-click>	98838	98940	102	
257	di<ii>	98940	99417	477	
258	di	99417	99550	133	
259	Napoli	99550	100100	550	
260	per	100100	100260	160	
261	esempio	100260	100688	428	
262	noi	100688	100769	81	
263	passeremo	100769	101260	491	
264	davanti	101260	101902	642	
265	a	101902	102010	108	
266	quel	102010	102354	344	
267	alla	102354	102570	216	
268	sezione	102570	102960	390	
269	presepiale	102960	103580	620	
270	<inspiration>	103580	103940	360	
271	dedicata	103940	104520	580	
272	per	104520	104683	163	
273	l'appunto	104683	105359	676	
274	<inspiration>	105359	105671	312	
275	a	105671	105760	89	
276	questa	105760	106098	338	
277	importante	106098	106750	652	
278	tradizione	106750	107600	850	
279	<inspiration>	107600	107902	302	
280	<eeh>	107902	108024	122	
281	della	108024	108240	216	
282	nostra<aa>	108240	109020	780	
283	della	109020	109280	260	
284	nostra	109280	109590	310	
285	città	109590	109918	328	
286	<inspiration>	109918	110795	877	
287	però	110795	111103	308	
288	al	111103	111411	308	
289	di	111411	111506	95	
290	là	111506	111640	134	
291	di	111640	111754	114	
292	questo	111754	112370	616	
293	che	112370	112474	104	
294	è	112474	112760	286	
295	qualcosa	112760	113310	550	
296	che	113310	113379	69	
297	è	113379	113426	47	
298	venuto	113426	113938	512	
299	solo	113938	114480	542	
300	<ehm>	114480	114770	290	
301	<breath>	114770	115104	334	
302	diciamo<oo>	115104	116330	1226	
303	<lp>	116330	116870	540	
304	relativamente	116870	117740	870	
305	recentemente	117740	118580	840	
306	nella	118580	118820	240	
307	vita	118820	119025	205	
308	del	119025	119190	165	
309	museo	119190	119650	460	
310	da	119650	119770	120	
311	nemmeno	119770	120112	342	
312	duecento	120112	120630	518	
313	anni	120630	121080	450	
314	<inspiration>	121080	122098	1018	
315	c'è	122098	122360	262	
316	da	122360	122452	92	
317	parlare	122452	122860	408	
318	appunto	122860	123250	390	
319	della	123250	123590	340	
320	storia	123590	123880	290	
321	precedente	123880	124576	696	
322	<lp>	124576	125611	1035	
323	<tongue-click>	125611	125760	149	
324	mi	125760	125972	212	
325	sembra	125972	126290	318	
326	di	126290	126410	120	
327	capire	126410	126760	350	
328	che	126760	126840	80	
329	siamo	126840	127120	280	
330	tutti	127120	127350	230	
331	napoletani	127350	127860	510	
332	tranne	127860	128149	289	
333	uno	128149	128460	311	
334	<lp>	128460	129660	1200	
335	<inspiration>	129660	130452	792	
336	<eeh>	130452	131258	806	
337	e	131258	131408	150	
338	quindi	131408	131949	541	
339	<ehm>	131949	133328	1379	
340	<breath>	133328	133544	216	
341	cercherò	133544	134000	456	
342	di	134000	134096	96	
343	farvi	134096	134350	254	
344	immaginare	134350	135090	740	
345	insomma	135090	135392	302	
346	di	135392	135495	103	
347	com'era	135495	135888	393	
348	la+	135888	136020	132	
349	com'era	136020	136350	330	
350	la	136350	136460	110	
351	vita	136460	136780	320	
352	<breath>	136780	136962	182	
353	<lp>	136962	137460	498	
354	in	137460	137621	161	
355	questo	137621	138080	459	
356	quartiere	138080	138760	680	
357	quando	138760	139049	289	
358	non	139049	139184	135	
359	era	139184	139315	131	
360	ancora	139315	139712	397	
361	di	139712	139816	104	
362	fatto	139816	140139	323	
363	un	140139	140190	51	
364	quartiere	140190	140830	640	
365	<inspiration>	140830	141560	730	
366	settecento	141560	142175	615	
367	anni	142175	142320	145	
368	fa	142320	142520	200	
369	<sp>	142520	142880	360	
370	nel	142880	143020	140	
371	milletrecento	143020	143950	930	
372	<sp>	143950	144260	310	
373	non	144260	144423	163	
374	so	144423	144830	407	
375	<sp>	144830	144975	145	
376	se	144975	145289	314	
377	<lp>	145289	145880	591	
378	ti	145880	145971	91	
379	è	145971	145990	19	
380	capitato	145990	146663	673	
381	ti	146663	146773	110	
382	do	146773	146890	117	
383	del	146890	147067	177	
384	tu	147067	147370	303	
385	di<ii>	147370	148020	650	
386	passeggiare	148020	148850	830	
387	per	148850	148950	100	
388	le	148950	149053	103	
389	strade	149053	149360	307	
390	del	149360	149580	220	
391	Vomero	149580	150043	463	
392	oggi	150043	150530	487	
393	ma	150530	150840	310	
394	adesso	150840	151264	424	
395	è	151264	151290	26	
396	un	151290	151390	100	
397	quartiere	151390	151907	517	
398	appunto	151907	152400	493	
399	molto	152400	152710	310	
400	animato	152710	153453	743	
401	ci	153453	153580	127	
402	sono	153580	153790	210	
403	molti	153790	154070	280	
404	negozi	154070	154586	516	
405	molti	154586	154900	314	
406	locali	154900	155420	520	
407	<inspiration>	155420	156170	750	
408	ma	156170	156470	300	
409	<eeh>	156470	157009	539	
410	in	157009	157147	138	
411	realtà	157147	157810	663	
412	<sp>	157810	158010	200	
413	<ehm>	158010	158269	259	
414	questa	158269	158487	218	
415	è	158487	158540	53	
416	una	158540	158630	90	
417	trasformazione	158630	159390	760	
418	anche	159390	159659	269	
419	questa	159659	160000	341	
420	relativamente	160000	161240	1240	
421	<sp>	161240	161552	312	
422	recente	161552	162260	708	
423	<inspiration>	162260	163073	813	
424	nel	163073	163278	205	
425	Trecento	163278	164119	841	
426	<sp>	164119	164310	191	
427	la	164310	164415	105	
428	collina	164415	164750	335	
429	del	164750	164900	150	
430	Vomero	164900	165374	474	
431	era	165374	165530	156	
432	pressoché	165530	165994	464	
433	disabitata	165994	166660	666	
434	<sp>	166660	166870	210	
435	quindi	166870	167340	470	
436	si	167340	167500	160	
437	trattava	167500	167900	400	
438	di	167900	168140	240	
439	campagna	168140	168790	650	
440	<lp>	168790	169260	470	
441	un	169260	169472	212	
442	luogo	169472	169990	518	
443	perfetto	169990	171020	1030	
444	<lp>	171020	171683	663	
445	<tongue-click>	171683	171912	229	
446	per	171912	172490	578	
447	i	172490	172590	100	
448	certosini	172590	173320	730	
449	<inspiration>	173320	173768	448	
450	che	173768	173888	120	
451	naturalmente	173888	174830	942	
452	cercavano	174830	175920	1090	
453	<lp>	175920	176430	510	
454	una	176430	176634	204	
455	vita<aa>	176634	177657	1023	
456	<breath>	177657	178176	519	
457	<lp>	178176	178551	375	
458	<vocal>	178551	178702	151	
459	di	178702	178810	108	
460	solitudine	178810	179465	655	
461	una	179465	179690	225	
462	vita	179690	180070	380	
463	appartata	180070	180960	890	
464	<sp>	180960	181356	396	
465	<inspiration>	181356	181906	550	
466	e	181906	182279	373	
467	<eeh>	182279	182740	461	
468	il	182740	182910	170	
469	duca	182910	183170	260	
470	di	183170	183267	97	
471	Calabria	183267	183990	723	
472	<sp>	183990	184290	300	
473	Carlo	184290	184910	620	
474	figlio	184910	185470	560	
475	del	185470	185776	306	
476	re	185776	186140	364	
477	Roberto	186140	186810	670	
478	il	186810	186900	90	
479	Saggio	186900	187670	770	
480	<inspiration>	187670	188130	460	
481	incoraggia	188130	188988	858	
482	appunto	188988	189430	442	
483	i	189430	189488	58	
484	certosini	189488	190108	620	
485	a	190108	190231	123	
486	stabilirsi	190231	190918	687	
487	in	190918	190979	61	
488	questo	190979	191315	336	
489	luogo	191315	191700	385	
490	<sp>	191700	191995	295	
491	<tongue-click>	191995	192161	166	
492	<eeh>	192161	192334	173	
493	a	192334	192441	107	
494	Napoli	192441	192788	347	
495	del	192788	192866	78	
496	Trecento	192866	193512	646	
497	<vocal>	193512	193727	215	
498	Roberto	193727	194367	640	
499	sia	194367	194555	188	
500	Roberto	194555	195240	685	
501	che	195240	195400	160	
502	suo	195400	195610	210	
503	figlio	195610	196179	569	
504	<inspiration>	196179	196563	384	
505	<eeh>	196563	196710	147	
506	facevano	196710	197180	470	
507	parte	197180	197584	404	
508	della<aa>	197584	198080	496	
509	dinastia	198080	198620	540	
510	angioina	198620	199080	460	
511	quindi	199080	199257	177	
512	per	199257	199364	107	
513	una	199364	199513	149	
514	volta	199513	199817	304	
515	non	199817	199920	103	
516	gli	199920	200060	140	
517	spagnoli	200060	200880	820	
518	<lp>	200880	201480	600	
519	a	201480	201620	140	
520	Napoli	201620	202325	705	
521	ma	202325	202480	155	
522	i	202480	202520	40	
523	francesi	202520	203350	830	
524	<inspiration>	203350	204162	812	
525	<ehm>	204162	205879	1717	
526	<sp>	205879	206288	409	
527	<tongue-click>	206288	206533	245	
528	<ehm>	206533	207198	665	
529	quindi	207198	207651	453	
530	<eeh>	207651	208247	596	
531	il<ll>/	208247	209725	1478	
532	Carlo	209725	210230	505	
533	incoraggia	210230	210960	730	
534	appunto	210960	211500	540	
535	i	211500	211630	130	
536	certosini	211630	212280	650	
537	a	212280	212380	100	
538	stabilirsi	212380	213070	690	
539	in	213070	213100	30	
540	questo	213100	213405	305	
541	luogo	213405	213781	376	
542	che	213781	214030	249	
543	per	214030	214280	250	
544	l'appunto	214280	214690	410	
545	essendo	214690	215317	627	
546	<inspiration>	215317	215542	225	
547	separato	215542	216320	778	
548	<sp>	216320	216490	170	
549	da	216490	216630	140	
550	tutto	216630	216830	200	
551	il	216830	216875	45	
552	resto	216875	217100	225	
553	della	217100	217280	180	
554	città	217280	217605	325	
555	ben	217605	217850	245	
556	si	217850	217980	130	
557	prestava	217980	218680	700	
558	<inspiration>	218680	219010	330	
559	alla	219010	219300	290	
560	vita	219300	219540	240	
561	monacale	219540	220060	520	
562	<lp>	220060	220816	756	
563	<tongue-click>	220816	220906	90	
564	e	220906	220976	70	
565	quindi	220976	221474	498	
566	<eeh>	221474	221911	437	
567	da	221911	222202	291	
568	il	222202	222500	298	
569	la+/	222500	222679	179	
570	<sp>	222679	223207	528	
571	<tongue-click>	223207	223329	122	
572	alla	223329	223550	221	
573	costruzione	223550	224490	940	
574	di	224490	224620	130	
575	questo	224620	225270	650	
576	<sp>	225270	225450	180	
577	immenso	225450	226290	840	
578	<sp>	226290	226570	280	
579	complesso	226570	227244	674	
580	<inspiration>	227244	227507	263	
581	contestualmente	227507	228540	1033	
582	lo	228540	228690	150	
583	vedete	228690	229036	346	
584	dietro	229036	229320	284	
585	di	229320	229440	120	
586	voi	229440	229872	432	
587	<inspiration>	229872	230172	300	
588	nasceva	230172	231080	908	
589	anche	231080	231510	430	
590	il	231510	231670	160	
591	Castello	231670	232590	920	
592	<sp>	232590	232740	150	
593	che	232740	232860	120	
594	all'epoca	232860	233300	440	
595	non	233300	233470	170	
596	si	233470	233610	140	
597	*ca+	233610	233810	200	
598	non	233810	234050	240	
599	si	234050	234170	120	
600	chiamava<aa>	234170	234880	710	
601	Castel	234880	235215	335	
602	Sant'Elmo	235215	235800	585	
603	come	235800	235970	170	
604	adesso	235970	236460	490	
605	ma	236460	236600	140	
606	era	236600	236890	290	
607	semplicemente	236890	237705	815	
608	<inspiration>	237705	237938	233	
609	chiamato	237938	238367	429	
610	Belforte	238367	239160	793	
611	e	239160	239290	130	
612	non	239290	239450	160	
613	ha	239450	239665	215	
614	l'aspetto	239665	240510	845	
615	<inspiration>	240510	240823	313	
616	che	240823	241170	347	
617	vedete	241170	241580	410	
618	oggi	241580	242032	452	
619	però	242032	242352	320	
620	diciamo	242352	242960	608	
621	che	242960	243110	150	
622	le	243110	243250	140	
623	due	243250	243440	190	
624	costruzioni	243440	244340	900	
625	i	244340	244360	20	
626	due	244360	244520	160	
627	complessi	244520	245260	740	
628	<inspiration>	245260	245570	310	
629	vanno	245570	245830	260	
630	un	245830	245880	50	
631	po'	245880	246160	280	
632	di	246160	246380	220	
633	pari	246380	246620	240	
634	passo	246620	247050	430	
635	per	247050	247209	159	
636	certo	247209	247580	371	
637	versi	247580	248010	430	
638	<sp>	248010	248451	441	
639	<tongue-click>	248451	248670	219	
640	tra	248670	248860	190	
641	gli	248860	248990	130	
642	architetti	248990	249870	880	
643	<inspiration>	249870	250243	373	
644	<ehm>	250243	251041	798	
645	che	251041	251395	354	
646	per	251395	251670	275	
647	primi	251670	252133	463	
648	hanno	252133	252403	270	
649	lavorato	252403	253160	757	
650	<sp>	253160	253300	140	
651	in	253300	253430	130	
652	questo	253430	253731	301	
653	luogo	253731	254010	279	
654	mi	254010	254140	130	
655	piace	254140	254452	312	
656	ricordare	254452	255070	618	
657	in	255070	255130	60	
658	particolare	255130	255710	580	
659	un	255710	255813	103	
660	senese	255813	256500	687	
661	Tino	256500	256840	340	
662	di	256840	256920	80	
663	Camaino	256920	257520	600	
664	<inspiration>	257520	258060	540	
665	che	258060	258343	283	
666	aveva<aa>/	258343	259130	787	
667	<inspiration>	259130	259415	285	
668	già	259415	259982	567	
669	stava	259982	260242	260	
670	lavorando	260242	260990	748	
671	<breath>	260990	261276	286	
672	<ehm>	261276	262070	794	
673	<lp>	262070	262669	599	
674	per	262669	263167	498	
675	il	263167	263289	122	
676	re	263289	263530	241	
677	Roberto	263530	264180	650	
678	alcune	264180	264600	420	
679	sue	264600	264760	160	
680	opere	264760	265110	350	
681	le	265110	265200	90	
682	potete	265200	265555	355	
683	vedere	265555	265990	435	
684	<inspiration>	265990	266239	249	
685	in	266239	266370	131	
686	alcune	266370	266810	440	
687	delle	266810	266984	174	
688	maggiori	266984	267370	386	
689	chiese	267370	267660	290	
690	napoletane	267660	268360	700	
691	Donna	268360	268618	258	
692	Regina	268618	269390	772	
693	San	269390	269550	160	
694	Lorenzo	269550	270150	600	
695	Santa	270150	270439	289	
696	Chiara	270439	270852	413	
697	<inspiration>	270852	271373	521	
698	quindi	271373	271790	417	
699	<sp>	271790	272000	210	
700	qui	272000	272290	290	
701	lavora	272290	272730	440	
702	invece	272730	273180	450	
703	più	273180	273369	189	
704	che	273369	273480	111	
705	come	273480	273729	249	
706	scultore	273729	274280	551	
707	in	274280	274400	120	
708	veste	274400	274900	500	
709	di	274900	275090	190	
710	architetto	275090	275720	630	
711	quindi	275720	275990	270	
712	una	275990	276130	140	
713	figura	276130	276650	520	
714	<inspiration>	276650	277009	359	
715	<eeh>	277009	277508	499	
716	diciamo	277508	277900	392	
717	completa	277900	278570	670	
718	<sp>	278570	278739	169	
719	<tongue-click>	278739	278840	101	
720	sotto	278840	279180	340	
721	questo	279180	279502	322	
722	punto	279502	279843	341	
723	di	279843	279951	108	
724	vista	279951	280330	379	
725	<inspiration>	280330	281044	714	
726	<sp>	281044	281213	169	
727	il/	281213	281717	504	
728	Carlo	281717	282352	635	
729	<breath>	282352	282539	187	
730	il	282539	282626	87	
731	Duca	282626	282850	224	
732	di	282850	282960	110	
733	Calabria	282960	283380	420	
734	in	283380	283410	30	
735	realtà	283410	283730	320	
736	non	283730	283910	180	
737	vede	283910	284450	540	
738	<breath>	284450	284850	400	
739	la	284850	285000	150	
740	fine	285000	285275	275	
741	dei	285275	285427	152	
742	lavori	285427	286005	578	
743	<inspiration>	286005	286470	465	
744	perché	286470	286800	330	
745	ufficialmente	286800	287979	1179	
746	<sp>	287979	288224	245	
747	<eeh>	288224	288520	296	
748	si	288520	288691	171	
749	concludono	288691	289300	609	
750	nel	289300	289420	120	
751	milletrecentosessantotto	289420	291190	1770	
752	quando	291190	291473	283	
753	lui	291473	291680	207	
754	era	291680	291831	151	
755	già	291831	292010	179	
756	morto	292010	292540	530	
757	lui	292540	292680	140	
758	in	292680	292702	22	
759	realtà	292702	293063	361	
760	<lp>	293063	293590	527	
761	<tongue-click>	293590	293722	132	
762	muore	293722	294052	330	
763	prematuramente	294052	295050	998	
764	<sp>	295050	295286	236	
765	<inspiration>	295286	295675	389	
766	quindi	295675	295950	275	
767	poi	295950	296209	259	
768	è	296209	296330	121	
769	il	296330	296440	110	
770	padre	296440	296944	504	
771	a	296944	297009	65	
772	portare	297009	297460	451	
773	avanti	297460	298180	720	
774	i	298180	298290	110	
775	lavori	298290	298863	573	
776	e	298863	299084	221	
777	l'inaugurazione	299084	299870	786	
778	formale	299870	300472	602	
779	<inspiration>	300472	300820	348	
780	viene	300820	301253	433	
781	<eeh>	301253	301780	527	
782	fatta	301780	302459	679	
783	<sp>	302459	302747	288	
784	dalla	302747	303358	611	
785	<vocal>	303358	303504	146	
786	regina	303504	304262	758	
787	<eeh>	304262	304590	328	
788	che	304590	304720	130	
789	potete	304720	305080	360	
790	vedere	305080	305675	595	
791	<inspiration>	305675	306073	398	
792	<ehm>	306073	306858	785	
793	in	306858	307089	231	
794	quell'affresco	307089	308010	921	
795	da	308010	308130	120	
796	quella	308130	308390	260	
797	parte	308390	308940	550	
798	<inspiration>	308940	309330	390	
799	Si	309330	309500	170	
800	tratta	309500	310150	650	
801	della	310150	310460	310	
802	regina	310460	311213	753	
803	Giovanna	311213	312050	837	
804	<inspiration>	312050	312329	279	
805	<tongue-click>	312329	312400	71	
806	quind<ii>	312400	312930	530	
807	la	312930	313080	150	
808	nipote	313080	313760	680	
809	<sp>	313760	313860	100	
810	di	313860	314030	170	
811	re	314030	314180	150	
812	Roberto	314180	314670	490	
813	il	314670	314789	119	
814	Saggio	314789	315410	621	
815	<inspiration>	315410	315723	313	
816	che	315723	315890	167	
817	offre	315890	316500	610	
818	<inspiration>	316500	316713	213	
819	<eeh>	316713	317044	331	
820	il	317044	317228	184	
821	modello	317228	317783	555	
822	della	317783	317970	187	
823	Certosa	317970	318390	420	
824	di	318390	318470	80	
825	San	318470	318640	170	
826	Martino	318640	319120	480	
827	a	319120	319240	120	
828	San	319240	319551	311	
829	Bruno	319551	319920	369	
830	in	319920	320010	90	
831	persona	320010	320700	690	
832	<sp>	320700	320795	95	
833	che	320795	320914	119	
834	è	320914	320970	56	
835	il	320970	321030	60	
836	fondatore	321030	321590	560	
837	dell'ordine	321590	322131	541	
838	e	322131	322240	109	
839	di	322240	322370	130	
840	cui	322370	322670	300	
841	<sp>	322670	322880	210	
842	insomma	322880	323227	347	
843	parleremo	323227	323820	593	
844	diffusamente	323820	324780	960	
845	<inspiration>	324780	325104	324	
846	più	325104	325261	157	
847	tardi	325261	325887	626	
848	<lp>	325887	326760	873	
849	<inspiration>	326760	327461	701	
850	<sp>	327461	327723	262	
851	in	327723	327760	37	
852	realtà	327760	328380	620	
853	<sp>	328380	328690	310	
854	è	328690	328831	141	
855	una	328831	328982	151	
856	conclusione	328982	329576	594	
857	dei	329576	329686	110	
858	lavori	329686	330260	574	
859	<lp>	330260	330910	650	
860	provvisoria	330910	331633	723	
861	in	331633	331675	42	
862	un	331675	331800	125	
863	certo	331800	332190	390	
864	senso	332190	332893	703	
865	<inspiration>	332893	333280	387	
866	perché	333280	333880	600	
867	<ehm>	333880	335092	1212	
868	<tongue-click>	335092	335268	176	
869	dalla/	335268	335594	326	
870	a	335594	335631	37	
871	partire	335631	336215	584	
872	dalla	336215	336460	245	
873	fine	336460	336808	348	
874	del	336808	336940	132	
875	millecinquecento	336940	338245	1305	
876	incominciano	338245	339290	1045	
877	una	339290	339490	200	
878	serie	339490	340041	551	
879	di	340041	340300	259	
880	lavori	340300	340725	425	
881	di	340725	340820	95	
882	ammodernamento	340820	341760	940	
883	e	341760	341800	40	
884	di	341800	341920	120	
885	abbellimento	341920	342640	720	
886	della	342640	342840	200	
887	Certosa	342840	343430	590	
888	che	343430	343700	270	
889	<inspiration>	343700	344189	489	
890	<sp>	344189	344530	341	
891	a	344530	344650	120	
892	fasi	344650	345125	475	
893	più	345125	345300	175	
894	o	345300	345350	50	
895	meno	345350	345520	170	
896	alterne	345520	346326	806	
897	<inspiration>	346326	346610	284	
898	si	346610	346839	229	
899	concluderanno	346839	347920	1081	
900	veramente	347920	349020	1100	
901	solo	349020	349790	770	
902	al/	349790	350020	230	
903	nel	350020	350160	140	
904	Settecento	350160	351110	950	
905	<sp>	351110	351230	120	
906	quindi	351230	351510	280	
907	tra	351510	351720	210	
908	una	351720	351840	120	
909	cosa	351840	352159	319	
910	e	352159	352240	81	
911	l'altra	352240	352825	585	
912	<sp>	352825	353000	175	
913	ci	353000	353146	146	
914	si	353146	353260	114	
915	prolunga	353260	353950	690	
916	<inspiration>	353950	354160	210	
917	per	354160	354290	130	
918	un	354290	354370	80	
919	bel	354370	354555	185	
920	po'	354555	354840	285	
921	ed	354840	355046	206	
922	è	355046	355108	62	
923	per	355108	355292	184	
924	questo	355292	355620	328	
925	motivo	355620	356013	393	
926	che	356013	356110	97	
927	la	356110	356220	110	
928	certosa	356220	356826	606	
929	viene	356826	357092	266	
930	considerata	357092	357780	688	
