Nr	dstr	Begin Time	End Time	Duration	
100	LFP	194490	194769	279	
101	FP	197962	198368	406	
102	PRL	200218	200480	262	
103	PRL	202229	202465	236	
104	PRL	204704	204910	206	
105	PRL	207361	207620	259	
106	REP	207620	207830	210	
107	REP	209460	209590	130	
108	SUB	209590	209920	330	
109	FP	215706	216066	360	
110	LFP	218592	219265	673	
111	SP	219265	219400	135	
112	FP	219400	219630	230	
113	FP	221397	222653	1256	
114	FP	223950	224104	154	
115	LFP	224667	225040	373	
116	REP	225040	225650	610	
117	PRL	226574	226830	256	
118	REP	226830	226950	120	
119	LFP	228510	228910	400	
120	SP	229840	230123	283	
121	LFP	230123	230955	832	
122	LFP	235229	235708	479	
123	FP	237101	237301	200	
124	SP	241902	242115	213	
125	SP	242830	243220	390	
126	PRL	252442	252824	382	
127	SP	252824	253046	222	
128	REP	253046	253619	573	
129	LFP	255592	255985	393	
130	PRL	256177	256450	273	
131	SP	258020	258500	480	
132	LFP	262231	262727	496	
133	PRL	262728	262983	255	
134	FP	263390	263680	290	
135	SP	267480	267633	153	
136	LFP	267636	268120	484	
137	LFP	274753	275020	267	
138	FP	278159	278313	154	
139	PRL	282215	282969	754	
140	SUB	282969	283340	371	
141	PRL	290500	291270	770	
142	FP	291270	291600	330	
143	PRL	293100	293596	496	
144	LFP	294056	294830	774	
145	REP	295050	295210	160	
146	LFP	299883	300244	361	
147	LFP	300515	300970	455	
148	DEL	304492	305190	698	
149	FP	305570	306547	977	
150	FP	308562	309500	938	
151	SP	309500	309859	359	
152	DEL	314193	314593	400	
153	PRL	314593	314893	300	
154	FP	318079	318724	645	
155	LFP	322634	323190	556	
156	SP	325210	325793	583	
157	REP	326589	327109	520	
158	FP	328325	329210	885	
159	FP	329958	330364	406	
160	SP	331200	331396	196	
161	FP	331396	331499	103	
162	LFP	332723	332990	267	
163	SP	335810	336080	270	
164	FP	336080	336690	610	
165	FP	340350	340628	278	
166	FP	345180	345593	413	
167	SP	346490	346740	250	
168	FP	348100	348488	388	
169	FP	352675	353040	365	
170	FP	353520	353994	474	
171	FP	356850	357743	893	
172	FP	360430	361250	820	
173	SP	361250	361400	150	
174	FP	362022	362256	234	
175	SUB	362256	362631	375	
176	SP	363340	363690	350	
177	FP	363690	364139	449	
178	FP	368440	369701	1261	
179	LFP	370890	371216	326	
180	PRL	374300	374470	170	
181	FP	377881	378042	161	
182	REP	378042	378180	138	
183	FP	382500	383424	924	
184	SP	383424	383862	438	
185	PRL	384009	384308	299	
186	REP	384308	384417	109	
187	SP	385140	385440	300	
188	PRL	386032	386315	283	
189	REP	386315	386810	495	
190	PRL	392110	392300	190	
191	SUB	392488	392713	225	
192	SP	393610	393760	150	
193	LFP	393760	394920	1160	
194	FP	395140	395459	319	
195	PRL	395640	395925	285	
196	REP	395925	396056	131	
197	FP	396993	397599	606	
198	FP	398750	399089	339	
199	FP	401070	401243	173	
200	FP	402211	403320	1109	
201	LFP	403320	403820	500	
202	PRL	403820	404125	305	
203	FP	404390	405423	1033	
204	LFP	406543	406833	290	
205	PRL	407056	407400	344	
206	LFP	407930	408768	838	
207	FP	411520	412224	704	
208	SP	412224	413011	787	
209	PRL	413990	414328	338	
210	SP	416550	417114	564	
211	PRL	418820	419100	280	
212	FP	425180	425519	339	
213	INS	426251	426582	331	
214	REP	426582	426676	94	
215	SP	427781	427949	168	
216	FP	427949	428005	56	
217	REP	428006	428255	249	
218	FP	430300	430710	410	
219	LFP	430710	431380	670	
220	DEL	434266	434628	362	
221	PRL	434628	434923	295	
222	FP	437854	438245	391	
223	SP	443755	443832	77	
224	FP	443833	444283	450	
225	PRL	446298	446647	349	
226	FP	446647	446978	331	
227	SP	447148	447472	324	
228	LFP	447472	447793	321	
229	SUB	447793	448337	544	
230	PRL	449868	449990	122	
231	FP	451020	451187	167	
232	PRL	452718	452845	127	
233	PRL	455899	456081	182	
234	FP	456081	456157	76	
235	PRL	459650	459907	257	
236	LFP	460200	460700	500	
237	FP	462554	463093	539	
238	PRL	463237	463401	164	
239	DEL	465262	465545	283	
240	FP	466786	468398	1612	
241	REP	468401	468866	465	
242	LFP	469354	469905	551	
243	PRL	469905	470020	115	
244	FP	470256	470574	318	
245	SP	472250	472428	178	
246	FP	472428	473420	992	
247	SP	473735	473858	123	
248	FP	473858	474204	346	
249	SUB	474210	474400	190	
250	SP	474991	475240	249	
251	PRL	475460	475676	216	
252	SUB	475677	475982	305	
253	PRL	476217	476468	251	
254	REP	476471	476846	375	
255	PRL	483758	483840	82	
256	REP	485245	485440	195	
257	PRL	485440	485572	132	
258	SUB	485572	485999	427	
259	FP	499750	500632	882	
260	FP	502770	502978	208	
261	PRL	510475	510730	255	
262	LFP	514788	515261	473	
263	SUB	515261	515923	662	
264	FP	519180	519390	210	
265	PRL	519980	520284	304	
266	FP	520284	520495	211	
267	REP	520495	520593	98	
268	FP	528240	528528	288	
269	PRL	533089	533299	210	
270	FP	533521	533932	411	
271	INS	534294	534804	510	
272	REP	534804	535330	526	
273	PRL	537110	537420	310	
274	PRL	537613	538234	621	
275	LFP	538234	538610	376	
276	FP	542819	543116	297	
277	PRL	544248	544400	152	
278	PRL	545744	546000	256	
279	FP	546000	546348	348	
280	SUB	546351	546566	215	
281	SUB	547004	547180	176	
282	REP	547180	547918	738	
283	FP	548305	548490	185	
284	SP	549010	549482	472	
285	LFP	549560	550016	456	
286	PRL	550946	551138	192	
287	FP	554195	554459	264	
288	PRL	556400	556560	160	
289	PRL	558835	559153	318	
290	REP	559153	559600	447	
291	FP	561521	561804	283	
292	LFP	563322	563963	641	
293	PRL	563963	564090	127	
294	FP	564544	565100	556	
295	PRL	566779	566993	214	
296	SP	568683	569410	727	
297	FP	569420	569666	246	
298	PRL	569972	570171	199	
299	REP	570171	570329	158	
300	FP	575860	575919	59	
301	LFP	579236	579580	344	
302	LFP	580352	580775	423	
303	FP	581230	581516	286	
304	LFP	582436	582856	420	
305	FP	586250	587387	1137	
306	SUB	587387	588573	1186	
307	PRL	591047	591573	526	
308	REP	591573	591730	157	
309	FP	593956	594202	246	
310	PRL	599187	599371	184	
311	FP	600410	600460	50	
312	PRL	602403	602879	476	
313	LFP	618372	618659	287	
314	LFP	618659	619449	790	
315	PRL	619988	620142	154	
316	FP	620410	620790	380	
317	LFP	622407	623320	913	
318	LFP	623320	623560	240	
319	LFP	627957	628190	233	
320	LFP	628190	629180	990	
321	FP	629590	630813	1223	
322	PRL	634520	634820	300	
323	LFP	635630	636326	696	
324	FP	641840	642070	230	
325	FP	649120	649700	580	
326	PRL	650280	650671	391	
327	FP	650671	650980	309	
328	REP	653182	653404	222	
329	SUB	653404	653680	276	
330	LFP	658563	658960	397	
331	SUB	659783	660186	403	
332	REP	661047	661411	364	
333	SUB	661411	662049	638	
334	DEL	671866	672410	544	
335	SP	673839	674030	191	
336	FP	674030	674768	738	
337	PRL	677789	678000	211	
338	REP	678288	678842	554	
339	LFP	679691	680125	434	
340	FP	681020	681235	215	
341	PRL	682244	682577	333	
342	PRL	684170	684440	270	
343	REP	684760	685031	271	
344	FP	687010	687420	410	
345	SP	688605	688929	324	
