,ANNOTATION_ID,CVE_REF,TIME_SLOT_REF1,TIME_SLOT_REF2,LINGUISTIC_TYPE_REF,TIER_ID,PARENT_REF,annotation
24,a14573,cveid_be376264-1789-4fff-aec3-69689249d83b,ts1429,ts1459,dml,dml,,RS
25,a14575,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts1470,ts1479,dml,dml,,OU
26,a14576,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts1480,ts1494,dml,dml,,IM
27,a14577,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts1496,ts1534,dml,dml,,CNT
28,a14578,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts1628,ts1654,dml,dml,,OU
29,a14579,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts1655,ts1690,dml,dml,,IM
30,a14580,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts1692,ts1701,dml,dml,,CNT
31,a14581,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts1702,ts1734,dml,dml,,OU
32,a14582,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts1735,ts1741,dml,dml,,IM
33,a14583,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts1740,ts1774,dml,dml,,CNT
34,a14584,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts1814,ts1858,dml,dml,,OU
35,a14585,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts1859,ts1879,dml,dml,,IM
36,a14586,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts1881,ts1896,dml,dml,,CNT
37,a14589,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts2026,ts2076,dml,dml,,OU
38,a14590,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts2077,ts2080,dml,dml,,IM
39,a14591,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts2082,ts2103,dml,dml,,CNT
40,a14592,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts2148,ts2160,dml,dml,,RM
41,a14593,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts2161,ts2176,dml,dml,,IM
42,a14594,cveid_be376264-1789-4fff-aec3-69689249d83b,ts2178,ts2200,dml,dml,,RS
43,a14595,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts2263,ts2267,dml,dml,,OU
44,a14596,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts2268,ts2272,dml,dml,,IM
45,a14597,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts2274,ts2306,dml,dml,,CNT
46,a14598,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts2384,ts2408,dml,dml,,OU
47,a14599,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts2409,ts2443,dml,dml,,IM
48,a14600,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts2444,ts2455,dml,dml,,CNT
49,a14601,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts2495,ts2537,dml,dml,,OU
50,a14602,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts2538,ts2561,dml,dml,,IM
51,a14603,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts2562,ts2571,dml,dml,,OU
52,a14604,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts2572,ts2602,dml,dml,,IM
53,a14605,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts2601,ts2643,dml,dml,,CNT
54,a14606,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts2685,ts2746,dml,dml,,OU
55,a14607,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts2747,ts2802,dml,dml,,IM
56,a14608,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts2799,ts2856,dml,dml,,CNT
57,a14609,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts2884,ts2927,dml,dml,,OU
58,a14610,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts2928,ts2976,dml,dml,,IM
59,a14611,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts2979,ts3016,dml,dml,,CNT
60,a14615,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts3144,ts3179,dml,dml,,OU
61,a14616,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts3178,ts3211,dml,dml,,IM
62,a14617,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts3210,ts3249,dml,dml,,OU
63,a14618,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts3250,ts3260,dml,dml,,IM
64,a14619,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts3259,ts3274,dml,dml,,RM
65,a14620,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts3275,ts3280,dml,dml,,IM
66,a16174,cveid_be376264-1789-4fff-aec3-69689249d83b,ts3283,ts3300,dml,dml,,RS
67,a14622,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts3650,ts3687,dml,dml,,OU
68,a14623,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts3688,ts3724,dml,dml,,IM
69,a14624,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts3723,ts3759,dml,dml,,CNT
70,a14625,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts3953,ts3963,dml,dml,,OU
71,a14626,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts3964,ts3983,dml,dml,,IM
72,a14627,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts3985,ts4017,dml,dml,,OU
73,a14628,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts4018,ts4055,dml,dml,,IM
74,a14629,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts4054,ts4082,dml,dml,,CNT
75,a14630,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts4285,ts4299,dml,dml,,OU
76,a14631,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts4300,ts4316,dml,dml,,IM
77,a14632,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts4318,ts4345,dml,dml,,OU
78,a14633,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts4346,ts4367,dml,dml,,IM
79,a14634,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts4368,ts4404,dml,dml,,CNT
80,a14637,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts4517,ts4520,dml,dml,,OU
81,a14638,,ts4521,ts4551,dml,dml,, IM
82,a14639,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts4550,ts4566,dml,dml,,CNT
83,a14640,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts4709,ts4742,dml,dml,,OU
84,a14641,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts4743,ts4753,dml,dml,,IM
85,a14642,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts4752,ts4775,dml,dml,,OU
86,a14643,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts4776,ts4799,dml,dml,,IM
87,a14644,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts4801,ts4912,dml,dml,,CNT
88,a14645,cveid_be376264-1789-4fff-aec3-69689249d83b,ts4959,ts4981,dml,dml,,RS
89,a14646,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts4982,ts4986,dml,dml,,IM
90,a14647,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts4985,ts5038,dml,dml,,CNT
91,a14651,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5173,ts5198,dml,dml,,OU
92,a14652,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5199,ts5214,dml,dml,,IM
93,a14653,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts5224,ts5227,dml,dml,,RM
94,a14654,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5228,ts5234,dml,dml,,IM
95,a14655,cveid_be376264-1789-4fff-aec3-69689249d83b,ts5236,ts5256,dml,dml,,RS
96,a14656,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5258,ts5279,dml,dml,,OU
97,a14657,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5280,ts5295,dml,dml,,IM
98,a14658,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts5297,ts5308,dml,dml,,CNT
99,a14659,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5340,ts5353,dml,dml,,OU
100,a14660,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5354,ts5357,dml,dml,,IM
101,a14661,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5359,ts5386,dml,dml,,OU
102,a14662,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5394,ts5423,dml,dml,,IM
103,a14663,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5425,ts5459,dml,dml,,OU
104,a14664,,ts5460,ts5472,dml,dml,, IM
105,a14665,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5473,ts5509,dml,dml,,OU
106,a14666,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5526,ts5543,dml,dml,,OU
107,a14667,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5544,ts5572,dml,dml,,IM
108,a14668,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5573,ts5590,dml,dml,,OU
109,a14669,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5591,ts5635,dml,dml,,IM
110,a14670,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts5636,ts5647,dml,dml,,CNT
111,a14671,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts5834,ts5860,dml,dml,,OU
112,a14672,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5861,ts5893,dml,dml,,IM
113,a14673,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts5895,ts5916,dml,dml,,RM
114,a14674,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5917,ts5929,dml,dml,,IM
115,a14675,cveid_be376264-1789-4fff-aec3-69689249d83b,ts5927,ts5941,dml,dml,,RS
116,a14676,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts5959,ts5977,dml,dml,,RM
117,a14677,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts5978,ts5996,dml,dml,,IM
118,a14678,cveid_be376264-1789-4fff-aec3-69689249d83b,ts5994,ts6000,dml,dml,,RS
119,a14679,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6040,ts6068,dml,dml,,OU
120,a14680,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts6069,ts6111,dml,dml,,IM
121,a14681,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts6110,ts6121,dml,dml,,CNT
122,a29881,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts6171,ts6197,dml,dml,,RM
123,a29882,cveid_be376264-1789-4fff-aec3-69689249d83b,ts6198,ts6236,dml,dml,,RS
124,a29883,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6246,ts6255,dml,dml,,OU
125,a29884,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts6256,ts6314,dml,dml,,IM
126,a29885,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts6313,ts6326,dml,dml,,CNT
127,a14688,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6401,ts6435,dml,dml,,OU
128,a14689,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts6436,ts6447,dml,dml,,IM
129,a14690,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts6449,ts6468,dml,dml,,CNT
130,a14691,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6478,ts6492,dml,dml,,OU
131,a14692,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts6490,ts6507,dml,dml,,IM
132,a14693,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6509,ts6570,dml,dml,,OU
133,a14694,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts6571,ts6587,dml,dml,,IM
134,a14695,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6589,ts6630,dml,dml,,OU
135,a14696,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts6631,ts6641,dml,dml,,IM
136,a14697,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6643,ts6688,dml,dml,,OU
137,a14699,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6702,ts6749,dml,dml,,OU
138,a14700,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts6750,ts6763,dml,dml,,IM
139,a14701,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts6764,ts6808,dml,dml,,CNT
140,a14704,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts6869,ts6901,dml,dml,,OU
141,a14705,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts6902,ts6908,dml,dml,,IM
142,a14706,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts6909,ts6938,dml,dml,,CNT
143,a14707,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts7118,ts7162,dml,dml,,OU
144,a14708,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts7163,ts7184,dml,dml,,IM
145,a14709,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts7186,ts7266,dml,dml,,OU
146,a14710,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts7267,ts7272,dml,dml,,IM
147,a14711,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts7274,ts7318,dml,dml,,OU
148,a14712,,ts7319,ts7323,dml,dml,, IM
149,a14713,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts7325,ts7408,dml,dml,,OU
150,a14714,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts7409,ts7412,dml,dml,,IM
151,a14715,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts7414,ts7453,dml,dml,,CNT
152,a14717,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts7470,ts7520,dml,dml,,OU
153,a14718,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts7521,ts7533,dml,dml,,IM
154,a14719,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts7534,ts7562,dml,dml,,OU
155,a14720,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts7563,ts7567,dml,dml,,IM
156,a14721,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts7566,ts7575,dml,dml,,CNT
157,a14722,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts7740,ts7762,dml,dml,,OU
158,a14723,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts7760,ts7793,dml,dml,,IM
159,a14724,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts7795,ts7810,dml,dml,,CNT
160,a14725,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts7858,ts7869,dml,dml,,RM
161,a14726,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts7870,ts7873,dml,dml,,IM
162,a14727,cveid_be376264-1789-4fff-aec3-69689249d83b,ts7875,ts7886,dml,dml,,RS
163,a14728,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts7894,ts7922,dml,dml,,OU
164,a14729,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts7923,ts7934,dml,dml,,IM
165,a14730,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts7936,ts7956,dml,dml,,CNT
166,a14731,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts8205,ts8213,dml,dml,,OU
167,a14732,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts8214,ts8241,dml,dml,,IM
168,a14733,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts8240,ts8258,dml,dml,,CNT
169,a14734,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts8386,ts8429,dml,dml,,OU
170,a14735,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts8430,ts8452,dml,dml,,IM
171,a14970,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts8453,ts8479,dml,dml,,OU
172,a14971,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts8480,ts8495,dml,dml,,IM
173,a14972,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts8497,ts8531,dml,dml,,CNT
174,a14977,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts8847,ts8867,dml,dml,,RM
175,a14978,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts8868,ts8881,dml,dml,,IM
176,a14979,cveid_be376264-1789-4fff-aec3-69689249d83b,ts8882,ts8914,dml,dml,,RS
177,a14980,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts8938,ts8948,dml,dml,,OU
178,a14981,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts8949,ts8970,dml,dml,,IM
179,a14982,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts8969,ts8991,dml,dml,,CNT
180,a14983,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts9089,ts9106,dml,dml,,OU
181,a14984,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts9107,ts9111,dml,dml,,IM
182,a14985,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts9110,ts9141,dml,dml,,CNT
183,a14986,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts9185,ts9195,dml,dml,,OU
184,a14987,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts9196,ts9205,dml,dml,,IM
185,a14988,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts9206,ts9221,dml,dml,,CNT
186,a14989,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts9280,ts9284,dml,dml,,OU
187,a14990,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts9285,ts9297,dml,dml,,IM
188,a14991,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts9298,ts9303,dml,dml,,CNT
189,a14992,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts9390,ts9393,dml,dml,,OU
190,a14993,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts9394,ts9398,dml,dml,,IM
191,a14994,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts9399,ts9412,dml,dml,,CNT
192,a14995,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts9491,ts9508,dml,dml,,RM
193,a14996,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts9509,ts9512,dml,dml,,IM
194,a14997,cveid_be376264-1789-4fff-aec3-69689249d83b,ts9514,ts9535,dml,dml,,RS
195,a14998,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts9610,ts9635,dml,dml,,RM
196,a14999,cveid_be376264-1789-4fff-aec3-69689249d83b,ts9636,ts9689,dml,dml,,RS
197,a29886,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts9972,ts9985,dml,dml,,OU
198,a15000,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts9986,ts9989,dml,dml,,IM
199,a15001,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts9991,ts10032,dml,dml,,CNT
200,a15004,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts10096,ts10107,dml,dml,,OU
201,a15005,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10108,ts10159,dml,dml,,IM
202,a15006,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts10160,ts10182,dml,dml,,CNT
203,a15007,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts10209,ts10222,dml,dml,,OU
204,a15008,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10223,ts10237,dml,dml,,IM
205,a15009,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts10239,ts10269,dml,dml,,CNT
206,a15010,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts10270,ts10293,dml,dml,,OU
207,a15011,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10294,ts10307,dml,dml,,IM
208,a15012,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts10309,ts10330,dml,dml,,RM
209,a15013,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10331,ts10353,dml,dml,,IM
210,a15014,cveid_be376264-1789-4fff-aec3-69689249d83b,ts10355,ts10376,dml,dml,,RS
211,a15017,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts10427,ts10430,dml,dml,,RM
212,a15018,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10431,ts10434,dml,dml,,IM
213,a15019,cveid_be376264-1789-4fff-aec3-69689249d83b,ts10436,ts10450,dml,dml,,RS
214,a15020,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts10498,ts10521,dml,dml,,OU
215,a15021,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10522,ts10548,dml,dml,,IM
216,a15022,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts10547,ts10562,dml,dml,,CNT
217,a15023,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts10589,ts10608,dml,dml,,OU
218,a15024,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10609,ts10662,dml,dml,,IM
219,a15025,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts10661,ts10693,dml,dml,,CNT
220,a15026,cveid_be376264-1789-4fff-aec3-69689249d83b,ts10864,ts10875,dml,dml,,RS
221,a15027,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10878,ts10910,dml,dml,,IM
222,a15028,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts10911,ts10934,dml,dml,,CNT
223,a15029,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts10935,ts10961,dml,dml,,OU
224,a15030,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts10962,ts10978,dml,dml,,IM
225,a15031,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts10977,ts10991,dml,dml,,CNT
226,a15035,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts11155,ts11174,dml,dml,,OU
227,a15036,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts11175,ts11184,dml,dml,,IM
228,a15037,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts11183,ts11203,dml,dml,,OU
229,a15038,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts11204,ts11216,dml,dml,,IM
230,a15039,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts11215,ts11267,dml,dml,,CNT
231,a15040,cveid_5332401c-84ae-4062-af77-77b346f4bdcd,ts11613,ts11656,dml,dml,,RM
232,a15041,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts11657,ts11669,dml,dml,,IM
233,a15042,cveid_be376264-1789-4fff-aec3-69689249d83b,ts11670,ts11715,dml,dml,,RS
234,a15043,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts11758,ts11762,dml,dml,,OU
235,a15044,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts11763,ts11788,dml,dml,,IM
236,a15045,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts11787,ts11803,dml,dml,,OU
237,a15046,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts11802,ts11806,dml,dml,,IM
238,a15047,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts11808,ts11836,dml,dml,,CNT
239,a15048,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts11849,ts11883,dml,dml,,OU
240,a15049,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts11884,ts11891,dml,dml,,IM
241,a15050,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts11893,ts11930,dml,dml,,CNT
242,a15051,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts12053,ts12080,dml,dml,,OU
243,a15052,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts12081,ts12120,dml,dml,,IM
244,a15053,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts12119,ts12157,dml,dml,,CNT
245,a15054,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts12262,ts12300,dml,dml,,OU
246,a15055,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts12301,ts12344,dml,dml,,IM
247,a15056,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts12345,ts12359,dml,dml,,CNT
248,a15057,cveid_0539abdc-6bc6-4b41-b35f-0423dd889dba,ts12615,ts12625,dml,dml,,OU
249,a15058,cveid_25e59bf3-657c-4d02-9ba2-23b9abded943,ts12626,ts12648,dml,dml,,IM
250,a15059,cveid_a319e893-3eda-470a-9b77-4feae2156020,ts12647,ts12667,dml,dml,,CNT
