Nr	ORT	Begin Time	End Time	Duration	
217	scelse	83200	83740	540	
218	il	83740	83780	40	
219	Museo	83780	84085	305	
220	di	84085	84170	85	
221	San	84170	84370	200	
222	Martino	84370	84860	490	
223	come	84860	85190	330	
224	non	85190	85362	172	
225	un	85362	85430	68	
226	museo	85430	85750	320	
227	qualunque	85750	86430	680	
228	<breath>	86430	86760	330	
229	ma	86760	87040	280	
230	come	87040	87300	260	
231	un	87300	87470	170	
232	luogo	87470	87900	430	
233	che	87900	88167	267	
234	<sp>	88167	88278	111	
235	<eeh>	88278	88577	299	
236	doveva<aa>	88577	89447	870	
237	<sp>	89447	89662	215	
238	<eeh>	89662	89793	131	
239	diventare	89793	90540	747	
240	di	90540	90640	100	
241	fatto	90640	91110	470	
242	il	91110	91180	70	
243	Museo	91180	91590	410	
244	civico	91590	92060	470	
245	di	92060	92150	90	
246	Napoli	92150	92570	420	
247	<sp>	92570	93134	564	
248	<inspiration>	93134	93657	523	
249	quindi<ii>	93657	94300	643	
250	ecco	94300	94560	260	
251	spiegate	94560	95240	680	
252	delle	95240	95450	210	
253	sezioni	95450	96110	660	
254	speciali	96110	96940	830	
255	dedicate	96940	97680	740	
256	ad	97680	97850	170	
257	alcune<ee>	97850	98500	650	
258	glorie	98500	99130	630	
259	<sp>	99130	99734	604	
260	<mhh>	99734	99962	228	
261	della	99962	100160	198	
262	tradizione	100160	100700	540	
263	napoletana	100700	101440	740	
264	<inspiration>	101440	101850	410	
265	Si	101850	102020	170	
266	pensi	102020	102470	450	
267	per	102470	102620	150	
268	esempio<oo>	102620	103512	892	
269	alla	103512	103660	148	
270	sezione	103660	104190	530	
271	presepiale	104190	104820	630	
272	<sp>	104820	104998	178	
273	dove	104998	105310	312	
274	appunto	105310	105760	450	
275	sono	105760	106010	250	
276	custodite	106010	106720	710	
277	<breath>	106720	107080	360	
278	alcuni<ii>	107080	108020	940	
279	<eeh>	108020	108223	203	
280	dei<ii>	108223	108750	527	
281	degli	108750	108950	200	
282	esempi	108950	109700	750	
283	<sp>	109700	109999	299	
284	<eeh>	109999	110366	367	
285	più	110366	110550	184	
286	belli	110550	110930	380	
287	di	110930	111010	80	
288	questa<aa>	111010	111780	770	
289	gloriosa	111780	112390	610	
290	per	112390	112522	132	
291	l'appunto	112522	112970	448	
292	tradizione<ee>	112970	114150	1180	
293	<sp>	114150	114280	130	
294	napoletana	114280	115020	740	
295	<sp>	115020	116115	1095	
296	<tongue-click>	116115	116187	72	
297	<sp>	116187	116480	293	
298	però	116480	116960	480	
299	<sp>	116960	117120	160	
300	<eeh>	117120	117412	292	
301	<sp>	117412	117596	184	
302	oggi	117596	118070	474	
303	in	118070	118250	180	
304	verità	118250	118610	360	
305	<breath>	118610	119210	600	
306	più	119210	119390	180	
307	che	119390	119630	240	
308	su	119630	119910	280	
309	questi	119910	120277	367	
310	aspetti	120277	120950	673	
311	immagini	120950	121390	440	
312	e	121390	121420	30	
313	memorie	121420	121970	550	
314	che	121970	122081	111	
315	racconta	122081	122720	639	
316	la	122720	122870	150	
317	storia	122870	123420	550	
318	la	123420	123490	70	
319	crescita	123490	124130	640	
320	<sp>	124130	124540	410	
321	diciamo	124540	125100	560	
322	della<aa>	125100	125690	590	
323	della	125690	125907	217	
324	città	125907	126530	623	
325	delle<ee>	126530	127252	722	
326	<breath>	127252	127600	348	
327	dei	127600	127689	89	
328	suoi	127689	127910	221	
329	ricordi	127910	128530	620	
330	storici	128530	129080	550	
331	in	129080	129110	30	
332	realtà	129110	129486	376	
333	<sp>	129486	129650	164	
334	ci	129650	129795	145	
335	concentreremo	129795	130510	715	
336	per	130510	130690	180	
337	di	130690	130860	170	
338	pi+/	130860	131087	227	
339	per	131087	131320	233	
340	lo	131320	131449	129	
341	più	131449	131860	411	
342	<breath>	131860	132320	460	
343	su	132320	132500	180	
344	quella	132500	132920	420	
345	che	132920	133010	90	
346	è	133010	133140	130	
347	proprio	133140	133550	410	
348	la	133550	133670	120	
349	vita	133670	133910	240	
350	dei	133910	134010	100	
351	certosini	134010	134701	691	
352	e	134701	134800	99	
353	la	134800	134910	110	
354	vita	134910	135170	260	
355	della<aa>	135170	135640	470	
356	Certosa	135640	136320	680	
357	<sp>	136320	136838	518	
358	<inspiration>	136838	137290	452	
359	Allora	137290	137670	380	
360	provate	137670	138105	435	
361	a	138105	138160	55	
362	immaginare<ee>	138160	139310	1150	
363	<sp>	139310	139660	350	
364	la	139660	139820	160	
365	Napoli	139820	140640	820	
366	di<ii>	140640	141420	780	
367	settecento	141420	142130	710	
368	anni	142130	142344	214	
369	fa<aa>	142344	142820	476	
370	<sp>	142820	143560	740	
371	<inspiration>	143560	143890	330	
372	su	143890	144090	200	
373	cui	144090	144480	390	
374	regnava<aa>	144480	145350	870	
375	<sp>	145350	145485	135	
376	la	145485	145580	95	
377	dinastia	145580	146130	550	
378	degli	146130	146330	200	
379	Angioini	146330	147105	775	
380	<sp>	147105	147350	245	
381	quindi	147350	147650	300	
382	di	147650	147730	80	
383	origine<ee>	147730	148400	670	
384	francese	148400	149210	810	
385	<inspiration>	149210	149754	544	
386	e	149754	149795	41	
387	provate	149795	150197	402	
388	a	150197	150243	46	
389	immaginare	150243	150960	717	
390	un	150960	151190	230	
391	Vomero	151190	151560	370	
392	visto	151560	151850	290	
393	che	151850	151939	89	
394	voi	151939	152150	211	
395	siete	152150	152390	240	
396	napoletani	152390	153010	620	
397	insomma	153010	153340	330	
398	possiamo	153340	153920	580	
399	fare	153920	154210	290	
400	un	154210	154350	140	
401	confronto<oo>	154350	155400	1050	
402	facile	155400	156130	730	
403	<breath>	156130	156566	436	
404	<eeh>	156566	156861	295	
405	un	156861	156980	119	
406	Vomero	156980	157340	360	
407	completamente<ee>	157340	158340	1000	
408	disabitato	158340	159180	840	
409	<sp>	159180	159557	377	
410	rispetto	159557	160041	484	
411	al	160041	160107	66	
412	quartiere<ee>	160107	160990	883	
413	commerciale<ee>	160990	162140	1150	
414	e	162140	162242	102	
415	animato	162242	163210	968	
416	che	163210	163365	155	
417	è	163365	163417	52	
418	oggi	163417	163880	463	
419	provate	163880	164212	332	
420	a	164212	164249	37	
421	immaginare	164249	164770	521	
422	una	164770	164940	170	
423	collina	164940	165700	760	
424	<breath>	165700	166060	360	
425	dove	166060	166520	460	
426	in	166520	166650	130	
427	pratica	166650	167000	350	
428	non	167000	167144	144	
429	c'era	167144	167440	296	
430	nulla	167440	167880	440	
431	<sp>	167880	168300	420	
432	una<aa>	168301	168971	670	
433	<vocal>	168971	169140	169	
434	quasi	169140	169380	240	
435	aperta<aa>	169380	170100	720	
436	campagna	170100	170820	720	
437	<inspiration>	170820	171279	459	
438	quindi	171279	171529	250	
439	un	171529	171780	251	
440	luogo	171780	172270	490	
441	che	172270	172330	60	
442	si	172330	172510	180	
443	prestava	172510	173230	720	
444	in	173230	173300	70	
445	maniera	173300	173680	380	
446	perfetta	173680	174560	880	
447	<inspiration>	174560	175126	566	
448	alla	175126	175415	289	
449	creazione	175415	176080	665	
450	di	176080	176140	60	
451	un	176140	176220	80	
452	monastero	176220	176910	690	
453	<sp>	176910	177850	940	
454	quindi<ii>	177850	178480	630	
455	il	178480	178770	290	
456	figlio	178770	179250	480	
457	del	179250	179364	114	
458	re	179364	179610	246	
459	Roberto	179610	180530	920	
460	cioè	180530	180820	290	
461	Carlo	180820	181317	497	
462	duca	181317	181570	253	
463	di	181570	181660	90	
464	Calabria	181660	182353	693	
465	<inspiration>	182353	182770	417	
466	diciamo	182770	183212	442	
467	appoggia	183212	184110	898	
468	<breath>	184110	184377	267	
469	<eeh>	184377	184643	266	
470	incoraggia	184643	185530	887	
471	<sp>	185530	185629	99	
472	la	185629	185740	111	
473	nascita	185740	186390	650	
474	<sp>	186390	186460	70	
475	di	186460	186590	130	
476	questa	186590	187310	720	
477	<sp>	187310	187400	90	
478	Certosa	187400	188130	730	
479	<breath>	188130	188460	330	
480	lo	188460	188600	140	
481	sapete	188600	189000	400	
482	che	189000	189097	97	
483	in	189097	189170	73	
484	Campania	189170	189770	600	
485	poi	189770	189900	130	
486	ce	189900	190020	120	
487	ne	190020	190110	90	
488	sono	190110	190380	270	
489	altre	190380	190730	350	
490	due	190730	191020	290	
491	quella	191020	191320	300	
492	di	191320	191430	110	
493	Padula	191430	191960	530	
494	<sp>	191960	192045	85	
495	e	192045	192100	55	
496	quella<aa>	192100	192990	890	
497	<sp>	192990	193100	110	
498	e	193100	193160	60	
499	quella	193160	193470	310	
500	di	193470	193580	110	
501	Capri	193580	193990	410	
502	<inspiration>	193990	194490	500	
503	Quindi	194490	194769	279	
504	negli	194769	195004	235	
505	anni	195004	195290	286	
506	Venti	195290	195810	520	
507	incominciano	195810	196554	744	
508	i	196554	196696	142	
509	lavori	196696	197370	674	
510	<inspiration>	197370	197962	592	
511	<eeh>	197962	198368	406	
512	affidati	198368	198900	532	
513	tra	198900	199060	160	
514	gli	199060	199200	140	
515	altri	199200	199700	500	
516	anche	199700	200158	458	
517	a<aa>	200158	200470	312	
518	Tino	200470	200740	270	
519	di	200740	200850	110	
520	Camaino	200850	201530	680	
521	<sp>	201530	202070	540	
522	che<ee>	202070	202460	390	
523	qui	202460	202840	380	
524	lavora	202840	203340	500	
525	in	203340	203460	120	
526	veste	203460	203770	310	
527	di	203770	203850	80	
528	architetto	203850	204560	710	
529	ma<aa>	204560	204910	350	
530	che	204910	205070	160	
531	per	205070	205250	180	
532	il	205250	205390	140	
533	re	205390	205644	254	
534	già	205644	206025	381	
535	lavorava	206025	206830	805	
536	<breath>	206830	207030	200	
537	come<ee>	207030	207620	590	
538	come	207620	207830	210	
539	scultore	207830	208420	590	
540	alcune	208420	208730	310	
541	sue	208730	208890	160	
542	opere	208890	209110	220	
543	le	209110	209200	90	
544	poss+/	209200	209460	260	
545	le	209460	209590	130	
546	potete	209590	209920	330	
547	vedere	209920	210250	330	
548	in	210250	210380	130	
549	Santa	210380	210770	390	
550	Chiara	210770	211210	440	
551	le	211210	211300	90	
552	potete	211300	211580	280	
553	vedere	211580	211990	410	
554	<inspiration>	211990	212323	333	
555	a	212323	212380	57	
556	Donna	212380	212680	300	
557	Regina	212680	213200	520	
558	le	213200	213290	90	
559	potete	213290	213590	300	
560	vedere	213590	213930	340	
561	a	213930	213950	20	
562	San	213950	214190	240	
563	Lorenzo	214190	214843	653	
564	<sp>	214843	215649	806	
565	<tongue-click>	215649	215702	53	
566	<eeh>	215702	216066	364	
567	incominciano	216066	216670	604	
568	quindi	216670	217160	490	
569	<sp>	217160	217211	51	
570	i	217211	217307	96	
571	lavori	217307	217900	593	
572	<inspiration>	217900	218285	385	
573	che	218285	218522	237	
574	<sp>	218522	218592	70	
575	in	218592	218681	89	
576	realtà	218681	219265	584	
577	<sp>	219265	219400	135	
578	<eeh>	219400	219630	230	
579	Carlo	219630	220100	470	
580	non	220100	220240	140	
581	vedrà	220240	220500	260	
582	mai	220500	221100	600	
583	<breath>	221100	221397	297	
584	<ehm>	221397	222653	1256	
585	completi	222653	223370	717	
586	perchè	223370	223848	478	
587	<sp>	223848	223950	102	
588	<eeh>	223950	224104	154	
589	muore	224104	224668	564	
590	in	224668	224704	36	
591	realtà	224704	225040	336	
592	muore	225040	225650	610	
593	<sp>	225650	225759	109	
594	ancor	225759	226055	296	
595	prima	226055	226480	425	
596	di<ii>	226480	226830	350	
597	di	226830	226950	120	
598	suo	226950	227130	180	
599	padre	227130	227530	400	
600	<inspiration>	227530	227998	468	
601	a	227998	228060	62	
602	mettere	228060	228510	450	
603	diciamo	228510	228910	400	
604	la	228910	229020	110	
605	parola	229020	229350	330	
606	fine	229350	229840	490	
607	<sp>	229840	230128	288	
608	in	230128	230180	52	
609	qualche	230180	230517	337	
610	modo	230517	230957	440	
611	a	230957	230990	33	
612	questa	230990	231300	310	
613	fase	231300	231580	280	
614	di	231580	231670	90	
615	lavori	231670	232020	350	
616	trecentesca	232020	232852	832	
617	<sp>	232852	232935	83	
618	è	232935	233010	75	
619	la	233010	233130	120	
620	regina	233130	233710	580	
621	<breath>	233710	233910	200	
622	Giovanna	233910	234510	600	
623	<sp>	234510	235100	590	
624	che	235100	235228	128	
625	in	235228	235246	18	
626	realtà	235246	235708	462	
627	<vocal>	235708	235828	120	
628	potete	235828	236180	352	
629	vedere	236180	236780	600	
630	<breath>	236780	237101	321	
631	<eeh>	237101	237301	200	
632	in	237301	237420	119	
633	quell'affresco	237420	238330	910	
634	<sp>	238330	238450	120	
635	ben	238450	238660	210	
636	più	238660	238807	147	
637	tardo	238807	239340	533	
638	naturalmente	239340	240050	710	
639	del	240050	240210	160	
640	Trecento	240210	240977	767	
641	<inspiration>	240977	241360	383	
642	dove	241360	241902	542	
643	<sp>	241902	242115	213	
644	offre	242115	242830	715	
645	<sp>	242830	243220	390	
646	il	243220	243310	90	
647	monastero	243310	244040	730	
648	stesso	244040	244620	580	
649	la	244620	244740	120	
650	Certosa	244740	245250	510	
651	stessa	245250	245876	626	
652	<sp>	245876	245961	85	
653	a	245961	246040	79	
654	San	246040	246370	330	
655	Bruno	246370	246860	490	
656	<sp>	246860	247080	220	
657	di	247080	247190	110	
658	cui	247190	247370	180	
659	parleremo	247370	247925	555	
660	a	247925	247980	55	
661	lungo	247980	248574	594	
662	<sp>	248574	248840	266	
663	durante	248840	249490	650	
664	la	249490	249670	180	
665	nostra	249670	250030	360	
666	visita	250030	250380	350	
667	perché	250380	250745	365	
668	<inspiration>	250745	251170	425	
669	si	251170	251270	100	
670	tratta	251270	251600	330	
671	del	251600	251730	130	
672	fondatore<ee>	251730	252824	1094	
673	<sp>	252824	253049	225	
674	del	253049	253150	101	
675	fondatore	253150	253620	470	
676	dell'ordine	253620	254210	590	
677	<sp>	254210	255132	922	
678	<inspiration>	255132	255592	460	
679	quindi	255592	255985	393	
680	la<aa>	255985	256450	465	
681	Certosa	256450	257050	600	
682	ha	257050	257250	200	
683	un'origine	257250	258020	770	
684	<sp>	258020	258500	480	
685	trecentesca	258500	259560	1060	
686	come	259560	259800	240	
687	vi	259800	259920	120	
688	dicevo	259920	260478	558	
689	<sp>	260478	260579	101	
690	però	260579	260852	273	
691	se	260852	260980	128	
692	già	260980	261190	210	
693	date	261190	261360	170	
694	uno	261360	261600	240	
695	sguardo	261600	262230	630	
696	insomma<aa>	262230	262983	753	
697	<inspiration>	262983	263390	407	
698	<eeh>	263390	263680	290	
699	nell'ambiente	263680	264380	700	
700	dove	264380	264590	210	
701	ci	264590	264730	140	
702	troviamo	264730	265335	605	
703	di	265335	265480	145	
704	trecentesco	265480	266430	950	
705	<inspiration>	266430	266570	140	
706	c'è	266570	266757	187	
707	ben	266757	266979	222	
708	poco	266979	267480	501	
709	<sp>	267480	267633	153	
710	in	267633	267750	117	
711	verità	267750	268120	370	
712	<inspiration>	268120	268410	290	
713	forse	268410	268680	270	
714	proprio	268680	268970	290	
715	sulla	268970	269240	270	
716	vostra	269240	269600	360	
717	testa	269600	270020	420	
718	potete	270020	270350	330	
719	vedere	270350	270852	502	
720	<breath>	270852	271098	246	
721	quel	271098	271280	182	
722	che	271280	271455	175	
723	resta	271455	272150	695	
724	di	272150	272230	80	
725	alcuni	272230	272760	530	
726	archi	272760	273320	560	
727	a	273320	273390	70	
728	sesto	273390	273990	600	
729	acuto	273990	274510	520	
730	<sp>	274510	274753	243	
731	quindi	274753	275020	267	
732	come	275020	275250	230	
733	vedete	275250	275850	600	
734	<inspiration>	275850	276142	292	
735	si	276142	276290	148	
736	è	276290	276370	80	
737	intervenuti	276370	277540	1170	
738	<breath>	277540	278159	619	
739	<eeh>	278159	278313	154	
740	successivamente	278313	279330	1017	
741	sulle	279330	279590	260	
742	strutture	279590	280430	840	
743	<sp>	280430	280670	240	
744	medievali	280670	281340	670	
745	<inspiration>	281340	281779	439	
746	questo<oo> 	281779	282960	1181	
747	questi	282960	283340	380	
748	lavori	283340	284060	720	
749	<inspiration>	284060	284643	583	
750	di	284643	284840	197	
751	ammodernamento	284840	285900	1060	
752	cominciano	285900	286850	950	
753	<sp>	286850	287260	410	
754	alla	287260	287440	180	
755	fine	287440	287700	260	
756	del	287700	287820	120	
757	millecinquecento	287820	288986	1166	
758	<inspiration>	288986	289475	489	
759	e	289475	289510	35	
760	potremmo	289510	289960	450	
761	dire	289960	290310	350	
762	che<ee>	290310	291270	960	
763	<ehm>	291270	291600	330	
764	<breath>	291600	292033	433	
765	non	292033	292140	107	
766	si	292140	292300	160	
767	fermano	292300	292740	440	
768	quasi<ii>	292740	293595	855	
769	mai	293595	293749	154	
770	più	293749	294056	307	
771	praticamente	294056	294830	774	
772	la	294830	295050	220	
773	la	295050	295210	160	
774	fase	295210	295550	340	
775	clou	295550	295794	244	
776	dei	295794	295942	148	
777	lavori	295942	296540	598	
778	<inspiration>	296540	296821	281	
779	si	296821	297000	179	
780	ha	297000	297220	220	
781	<sp>	297220	297405	185	
782	a	297405	297451	46	
783	partire	297451	297870	419	
784	da	297870	297970	100	
785	quel	297970	298130	160	
786	momento	298130	298713	583	
787	e	298713	298850	137	
788	nel	298850	299060	210	
789	Seicento	299060	299739	679	
790	ma	299739	299880	141	
791	in	299880	299903	23	
792	realtà	299903	300246	343	
793	poi	300246	300510	264	
794	come	300510	300700	190	
795	dire	300700	300970	270	
796	<inspiration>	300970	301249	279	
797	si	301249	301446	197	
798	prolunga	301446	302300	854	
799	<sp>	302300	302510	210	
800	fino	302510	302822	312	
801	al	302822	302995	173	
802	millesettecento	302995	304109	1114	
803	<inspiration>	304109	304392	283	
804	la	304392	304492	100	
805	Certosa	304492	305190	698	
806	<inspiration>	305190	305570	380	
807	<ehm>	305570	306547	977	
808	agli	306547	306790	243	
809	inizi	306790	307044	254	
810	del	307044	307190	146	
811	milleottocento	307190	308340	1150	
812	<inspiration>	308340	308562	222	
813	<ehm>	308562	309500	938	
814	<sp>	309500	309859	359	
815	<tongue click>	309859	309972	113	
816	gli	309972	310042	70	
817	ordini	310042	310385	343	
818	vengono	310385	310700	315	
819	soppressi	310700	311512	812	
820	<sp>	311512	311752	240	
821	<tongue click>	311752	311797	45	
822	quindi	311797	312010	213	
823	i	312010	312031	21	
824	certosini	312031	312580	549	
825	sono	312580	312786	206	
826	costretti	312786	313400	614	
827	ad	313400	313490	90	
828	andar	313490	313790	300	
829	via	313790	314193	403	
830	per	314193	314340	147	
831	un <nn>/	314340	314893	553	
832	poi	314893	315132	239	
833	ritorneranno	315132	315930	798	
834	per	315930	316056	126	
835	poi	316056	316330	274	
836	essere	316330	316680	350	
837	definitivamente	316680	317756	1076	
838	<breath>	317756	318079	323	
839	<ehm>	318079	318724	645	
840	cacciati	318724	319438	714	
841	ed	319438	319610	172	
842	è	319610	319669	59	
843	per	319669	319855	186	
844	questo	319855	320289	434	
845	che	320289	320450	161	
846	<noise>	320450	320736	286	
847	<inspiration>	320736	321150	414	
848	<cough>	321150	321980	830	
849	<tongue-click>	321980	322634	654	
850	scusate	322634	323190	556	
851	<inspiration>	323190	323460	270	
852	poi	323460	323690	230	
853	la	323690	323790	100	
854	Certosa	323790	324300	510	
855	come	324300	324493	193	
856	vi	324493	324620	127	
857	dicevo	324620	325210	590	
858	<sp>	325210	325793	583	
859	<tongue-click>	325793	325949	156	
860	diventerà	325949	326589	640	
861	diventerà	326589	327109	520	
862	museo	327109	327650	541	
863	<inspiration>	327650	328325	675	
864	<ehm>	328325	329210	885	
865	<tongue-click>	329210	329311	101	
866	questi	329311	329958	647	
867	<eeh>	329958	330364	406	
868	lavori	330364	331200	836	
869	<sp>	331200	331396	196	
870	<eeh>	331396	331501	105	
871	di	331501	331628	127	
872	ammodernamento	331628	332723	1095	
873	quindi	332723	332990	267	
874	incominciano	332990	333950	960	
875	alla	333950	334095	145	
876	fine	334095	334320	225	
877	del	334320	334380	60	
878	millecinquecento	334380	335441	1061	
879	e	335441	335810	369	
880	<sp>	335810	336080	270	
881	<ehm>	336080	336692	612	
882	come	336692	336930	238	
883	vi	336930	337020	90	
884	dicevo	337020	337526	506	
885	si	337526	337640	114	
886	prolungano	337640	338410	770	
887	<inspiration>	338410	338633	223	
888	per	338633	338803	170	
889	molto	338803	339220	417	
890	tempo	339220	339741	521	
891	<inspiration>	339741	340003	262	
892	e	340003	340350	347	
893	<ehm>	340350	340628	278	
894	vedono	340628	341223	595	
895	andare	341223	341710	487	
896	e	341710	341794	84	
897	venire	341794	342430	636	
898	dalla	342430	342680	250	
899	Certosa	342680	343376	696	
900	<inspiration>	343376	343606	230	
901	alcuni	343606	344210	604	
902	dei	344210	344383	173	
903	migliori	344383	345180	797	
904	<ehm>	345180	345593	413	
905	artisti	345593	346490	897	
906	<sp>	346490	346740	250	
907	su	346740	346903	163	
908	piazza	346903	347490	587	
909	<inspiration>	347490	348100	610	
910	<ehm>	348100	348488	388	
911	qui	348488	348745	257	
912	per	348745	348865	120	
913	esempio	348865	349492	627	
914	c'è	349492	349737	245	
915	Belisario	349737	350230	493	
916	Corenzio	350230	350947	717	
917	Giovanni	350947	351395	448	
918	Baglione	351395	352109	714	
919	ma	352109	352467	358	
920	<inspiration>	352467	352675	208	
921	<ehm>	352675	353040	365	
922	se	353040	353520	480	
923	<ehm>	353520	353994	474	
924	guardate	353994	354793	799	
925	<inspiration>	354793	355080	287	
926	per	355080	355251	171	
