Nr	dstr	Begin Time	End Time	Duration	
229	FP	609140	609655	515	
230	SUB	610545	610890	345	
231	PRL	610891	611157	266	
232	REP	611415	611614	199	
233	DEL	611614	612040	426	
234	FP	613718	614870	1152	
235	PRL	617371	617600	229	
236	REP	617843	618047	204	
237	REP	625180	625741	561	
238	FP	631238	631440	202	
239	SP	633580	633870	290	
240	LFP	633870	634317	447	
241	PRL	634317	634500	183	
242	SUB	634500	634990	490	
243	FP	639666	641289	1623	
244	SUB	643251	644210	959	
245	SUB	644890	646351	1461	
246	FP	646885	647127	242	
247	PRL	648227	648450	223	
248	SP	648450	648693	243	
249	REP	648693	648781	88	
250	REP	652350	652460	110	
251	LFP	655640	656070	430	
252	FP	662525	664142	1617	
253	FP	668063	668371	308	
254	PRL	687036	687251	215	
255	FP	687251	687765	514	
256	LFP	693620	694286	666	
257	FP	694289	694685	396	
258	FP	705070	705499	429	
259	LFP	706170	706950	780	
260	LFP	722470	722990	520	
261	PRL	722990	723371	381	
262	FP	723371	724620	1249	
263	FP	746733	747020	287	
264	PRL	751878	752310	432	
265	SUB	752310	753060	750	
266	FP	754820	755700	880	
267	INS	767221	768410	1189	
268	REP	768410	768910	500	
269	SUB	770365	770790	425	
270	FP	778687	779151	464	
271	LFP	780920	781400	480	
272	SP	783980	784190	210	
273	REP	784190	784490	300	
274	SP	790340	790620	280	
