,ANNOTATION_ID,Begin Time,End Time,Nr,ORT
71,a30292,25480.0,26130.0,67,stamattina
72,a30293,26130.0,26460.0,68,insomma
73,a30294,26460.0,26869.0,69,viene
74,,26869.0,27118.0,69,<ee>
75,a30295,27118.0,27508.0,70,<eeh>
76,a30296,27508.0,27640.0,71,a
77,a30297,27640.0,28162.0,72,visitare
78,a30298,28162.0,28460.0,73,questo
79,a30299,28460.0,28800.0,74,museo
80,a30300,28800.0,29020.0,75,viene
81,a30301,29020.0,29050.0,76,in
82,a30302,29050.0,29360.0,77,questo
83,a30303,29360.0,29710.0,78,luogo
84,a30304,29710.0,30120.0,79,<inspiration>
85,a30305,30120.0,30510.0,80,può
86,a30306,30510.0,30686.0,81,<sp>
87,a30307,30686.0,31330.0,82,sia
88,a30308,31330.0,32406.0,83,<ehm>
89,a30309,32406.0,32839.0,84,<breath>
90,a30310,32839.0,33360.0,85,<lp>
91,a30311,33360.0,33486.0,86,<tongue-click>
92,a30312,33486.0,33829.0,87,avere
93,a30313,33829.0,33960.0,88,un
94,a30314,33960.0,34670.0,89,assaggio
95,a30315,34670.0,34814.0,90,<breath>
96,a30316,34814.0,35017.0,91,<sp>
97,a30317,35017.0,35225.0,92,di
98,a30318,35225.0,35460.0,93,quella
99,a30319,35460.0,35561.0,94,che
100,a30320,35561.0,35985.0,95,doveva
101,a30321,35985.0,36637.0,96,essere
102,a30322,36637.0,36910.0,97,<inspiration>
103,a30323,36910.0,37049.0,98,la
104,a30324,37049.0,37320.0,99,vita
105,a30325,37320.0,37428.0,100,dei
106,a30326,37428.0,38250.0,101,certosini
107,a30327,38250.0,39015.0,102,<lp>
108,a30328,39015.0,39290.0,103,<tongue-click>
109,a30329,39290.0,39420.0,104,in
110,a30330,39420.0,39740.0,105,questo
111,a30331,39740.0,40490.0,106,monastero
112,a30332,40490.0,41409.0,107,<inspiration>
113,a30333,41409.0,41620.0,108,<sp>
114,a30334,41620.0,42248.0,109,sia
115,a30335,42248.0,43080.0,110,<eeh>
116,a30336,43080.0,43780.0,111,vedere
117,a30337,43780.0,44425.0,112,<eeh>
118,a30338,44425.0,44524.0,113,gli
119,a30339,44524.0,45100.0,114,ambienti
120,a30340,45100.0,45386.0,115,<sp>
121,a30341,45386.0,45526.0,116,che
122,a30342,45526.0,45580.0,117,s+
123,a30343,45580.0,45760.0,118,poi
124,a30344,45760.0,45940.0,119,sono
125,a30345,45940.0,46188.0,120,stati
126,a30346,46188.0,46810.0,121,trasformati
127,a30347,46810.0,46840.0,122,e
128,a30348,46840.0,47000.0,123,si
129,a30349,47000.0,47299.0,124,sono
130,,47299.0,47520.0,124,<oo>
131,a30350,47520.0,47720.0,125,sono
132,a30351,47720.0,48150.0,126,diventati
133,a30352,48150.0,48180.0,127,il
134,a30353,48180.0,48430.0,128,Museo
135,a30354,48430.0,49090.0,129,nazionale
136,a30355,49090.0,49571.0,130,<sp>
137,a30356,49571.0,50420.0,131,<inspiration>
138,a30357,50420.0,50733.0,132,i
139,a30358,50733.0,51680.0,133,certosini
140,a30359,51680.0,51988.0,134,che
141,,51988.0,52480.0,134,<ee>
142,a30360,52480.0,52811.0,135,<ehm>
143,a30361,52811.0,53060.0,136,si
144,a30362,53060.0,53480.0,137,trovavano
145,a30363,53480.0,53674.0,138,qui
146,a30364,53674.0,53840.0,139,dal
147,a30365,53840.0,55030.0,140,milletrecento
148,a30366,55030.0,55171.0,141,<sp>
149,a30367,55171.0,55960.0,142,infatti
150,a30368,55960.0,56290.0,143,<inspiration>
151,a30369,56290.0,56540.0,144,sono
152,a30370,56540.0,56849.0,145,stati
153,a30371,56849.0,57415.0,146,poi
154,a30372,57415.0,57801.0,147,<vocal>
155,a30373,57801.0,58478.0,148,gentilmente
156,a30374,58478.0,59050.0,149,invitati
157,a30375,59050.0,59542.0,150,insomma
158,a30376,59542.0,59842.0,151,<laughter>
159,a30377,59842.0,59994.0,152,a
160,a30378,59994.0,60570.0,153,lasciare
161,a30379,60570.0,61110.0,154,questo
162,a30380,61110.0,61450.0,155,ameno
163,a30381,61450.0,62063.0,156,luogo
164,a30382,62063.0,62430.0,157,<inspiration>
165,a30383,62430.0,62545.0,158,nel
166,a30384,62545.0,63580.0,159,milleottocento
167,a30385,63580.0,63716.0,160,<sp>
168,a30386,63716.0,63953.0,161,<inspiration>
169,a30387,63953.0,64083.0,162,e
170,a30388,64083.0,64243.0,163,si
171,a30389,64243.0,64990.0,164,decise
172,a30390,64990.0,65401.0,165,<inspiration>
173,a30391,65401.0,65698.0,166,<eeh>
174,a30392,65698.0,65903.0,167,di
175,a30393,65903.0,66830.0,168,trasformarlo
176,a30394,66830.0,67350.0,169,poi
177,a30395,67350.0,67451.0,170,in
178,a30396,67451.0,67560.0,171,un
179,a30397,67560.0,68080.0,172,museo
180,a30398,68080.0,68653.0,173,<lp>
181,a30399,68653.0,68736.0,174,<tongune-click>
182,a30400,68736.0,68910.0,175,il
183,a30401,68910.0,69468.0,176,Museo
184,,69468.0,69820.0,176,<oo>
185,a30402,69820.0,69930.0,177,di
186,a30403,69930.0,70100.0,178,San
187,a30404,70100.0,70502.0,179,Martino
188,a30405,70502.0,70750.0,180,doveva
189,a30406,70750.0,71193.0,181,essere
190,a30407,71193.0,71280.0,182,di
191,a30408,71280.0,71570.0,183,fatto
192,a30409,71570.0,71660.0,184,il
193,a30410,71660.0,71990.0,185,museo
194,a30411,71990.0,72520.0,186,civico
195,a30412,72520.0,73090.0,187,<lp>
196,a30413,73090.0,73340.0,188,della
197,a30414,73340.0,73635.0,189,città
198,a30415,73635.0,73750.0,190,di
199,a30416,73750.0,74170.0,191,Napoli
200,a30417,74170.0,74525.0,192,<sp>
201,a30418,74525.0,74603.0,193,<tongue-click>
202,a30419,74603.0,74880.0,194,quindi
203,a30420,74880.0,75000.0,195,al
204,a30421,75000.0,75302.0,196,*sin+
205,a30422,75302.0,75504.0,197,al
206,a30423,75504.0,75660.0,198,suo
207,a30424,75660.0,76121.0,199,interno
208,a30425,76121.0,76440.0,200,dovevano
209,a30426,76440.0,76930.0,201,essere
210,a30427,76930.0,77461.0,202,<inspiration>
211,a30428,77461.0,78138.0,203,<ehm>
212,a30429,78138.0,79170.0,204,conservate
213,a30430,79170.0,79733.0,205,<lp>
214,a30431,79733.0,79810.0,206,<tongue-click>
215,a30432,79810.0,80223.0,207,alcune
216,a30433,80223.0,80427.0,208,delle
217,a30434,80427.0,80880.0,209,memorie
218,a30435,80880.0,81092.0,210,più
219,a30436,81092.0,82072.0,211,importanti
220,a30437,82072.0,82177.0,212,<breath>
221,a30438,82177.0,82730.0,213,<lp>
222,a30439,82730.0,82994.0,214,della
223,a30440,82994.0,83290.0,215,città
224,a30441,83290.0,83545.0,216,<sp>
225,a30442,83545.0,83983.0,217,ancora
226,a30443,83983.0,84400.0,218,adesso
227,a30444,84400.0,84550.0,219,c'è
228,a30445,84550.0,84650.0,220,una
229,a30446,84650.0,85090.0,221,sezione
230,a30447,85090.0,85210.0,222,del
231,a30448,85210.0,85600.0,223,museo
232,a30449,85600.0,85670.0,224,che
233,a30450,85670.0,85840.0,225,si
234,a30451,85840.0,86050.0,226,chiama
235,a30452,86050.0,86340.0,227,proprio
236,a30453,86340.0,86790.0,228,Immagini
237,a30454,86790.0,86820.0,229,e
238,a30455,86820.0,87283.0,230,memorie
239,a30456,87283.0,87640.0,231,quindi
240,a30457,87640.0,87800.0,232,<sp>
241,a30458,87800.0,88090.0,233,insomma
242,a30459,88090.0,88470.0,234,<inspiration>
243,a30460,88470.0,88570.0,235,ve
244,a30461,88570.0,88680.0,236,la
245,a30462,88680.0,88986.0,237,dice
246,,88986.0,89160.0,237,<ee>
247,a30463,89160.0,89291.0,238,<sp>
248,a30464,89291.0,89850.0,239,lunga
249,a30465,89850.0,91080.0,240,sull'obiettivo
250,a30466,91080.0,91580.0,241,<inspiration>
251,a30467,91580.0,92521.0,242,<ehm>
252,a30468,92521.0,92723.0,243,del
253,a30469,92723.0,93190.0,244,museo
254,a30470,93190.0,93357.0,245,per
255,a30471,93357.0,94063.0,246,l'appunto
256,a30472,94063.0,94562.0,247,<inspiration>
257,a30473,94562.0,94947.0,248,<eeh>
258,a30474,94947.0,95440.0,249,oppure
259,a30475,95440.0,96150.0,250,documentare
260,a30476,96150.0,96440.0,251,anche
261,a30477,96440.0,97370.0,252,tradizioni
262,a30478,97370.0,98152.0,253,gloriose
263,a30479,98152.0,98600.0,254,<breath>
264,a30480,98600.0,98838.0,255,<sp>
265,a30481,98838.0,98940.0,256,<tongue-click>
266,a30482,98940.0,99212.0,257,di
267,,99212.0,99417.0,257,<ii>
268,a30483,99417.0,99550.0,258,di
269,a30484,99550.0,100100.0,259,Napoli
270,a30485,100100.0,100260.0,260,per
271,a30486,100260.0,100688.0,261,esempio
272,a30487,100688.0,100769.0,262,noi
273,a30488,100769.0,101260.0,263,passeremo
274,a30489,101260.0,101902.0,264,davanti
275,a30490,101902.0,102010.0,265,a
276,a30491,102010.0,102354.0,266,quel
277,a30492,102354.0,102570.0,267,alla
278,a30493,102570.0,102960.0,268,sezione
279,a30494,102960.0,103580.0,269,presepiale
280,a30495,103580.0,103940.0,270,<inspiration>
281,a30496,103940.0,104520.0,271,dedicata
282,a30497,104520.0,104683.0,272,per
283,a30498,104683.0,105359.0,273,l'appunto
284,a30499,105359.0,105671.0,274,<inspiration>
285,a30500,105671.0,105760.0,275,a
286,a30501,105760.0,106098.0,276,questa
287,a30502,106098.0,106750.0,277,importante
288,a30503,106750.0,107600.0,278,tradizione
289,a30504,107600.0,107902.0,279,<inspiration>
290,a30505,107902.0,108024.0,280,<eeh>
291,a30506,108024.0,108240.0,281,della
292,a30507,108240.0,108691.0,282,nostra
293,,108691.0,109020.0,282,<aa>
294,a30508,109020.0,109280.0,283,della
295,a30509,109280.0,109590.0,284,nostra
296,a30510,109590.0,109918.0,285,città
297,a30511,109918.0,110795.0,286,<inspiration>
298,a30512,110795.0,111103.0,287,però
299,a30513,111103.0,111411.0,288,al
300,a30514,111411.0,111506.0,289,di
301,a30515,111506.0,111640.0,290,là
302,a30516,111640.0,111754.0,291,di
303,a30517,111754.0,112370.0,292,questo
304,a30518,112370.0,112474.0,293,che
305,a30519,112474.0,112760.0,294,è
306,a30520,112760.0,113310.0,295,qualcosa
307,a30521,113310.0,113379.0,296,che
308,a30522,113379.0,113426.0,297,è
309,a30523,113426.0,113938.0,298,venuto
310,a30524,113938.0,114480.0,299,solo
311,a30525,114480.0,114770.0,300,<ehm>
312,a30526,114770.0,115104.0,301,<breath>
313,a30527,115104.0,115693.0,302,diciamo
314,,115693.0,116330.0,302,<oo>
315,a30528,116330.0,116870.0,303,<lp>
316,a30529,116870.0,117740.0,304,relativamente
317,a30530,117740.0,118580.0,305,recentemente
318,a30531,118580.0,118820.0,306,nella
319,a30532,118820.0,119025.0,307,vita
320,a30533,119025.0,119190.0,308,del
321,a30534,119190.0,119650.0,309,museo
322,a30535,119650.0,119770.0,310,da
323,a30536,119770.0,120112.0,311,nemmeno
324,a30537,120112.0,120630.0,312,duecento
325,a30538,120630.0,121080.0,313,anni
326,a30539,121080.0,122098.0,314,<inspiration>
327,a30540,122098.0,122360.0,315,c'è
328,a30541,122360.0,122452.0,316,da
329,a30542,122452.0,122860.0,317,parlare
330,a30543,122860.0,123250.0,318,appunto
331,a30544,123250.0,123590.0,319,della
332,a30545,123590.0,123880.0,320,storia
333,a30546,123880.0,124576.0,321,precedente
334,a30547,124576.0,125611.0,322,<lp>
335,a30548,125611.0,125760.0,323,<tongue-click>
336,a30549,125760.0,125972.0,324,mi
337,a30550,125972.0,126290.0,325,sembra
338,a30551,126290.0,126410.0,326,di
339,a30552,126410.0,126760.0,327,capire
340,a30553,126760.0,126840.0,328,che
341,a30554,126840.0,127120.0,329,siamo
342,a30555,127120.0,127350.0,330,tutti
343,a30556,127350.0,127860.0,331,napoletani
344,a30557,127860.0,128149.0,332,tranne
345,a30558,128149.0,128460.0,333,uno
346,a30559,128460.0,129660.0,334,<lp>
347,a30560,129660.0,130452.0,335,<inspiration>
348,a30561,130452.0,131258.0,336,<eeh>
349,a30562,131258.0,131408.0,337,e
350,a30563,131408.0,131949.0,338,quindi
351,a30564,131949.0,133328.0,339,<ehm>
352,a30565,133328.0,133544.0,340,<breath>
353,a30566,133544.0,134000.0,341,cercherò
354,a30567,134000.0,134096.0,342,di
355,a30568,134096.0,134350.0,343,farvi
356,a30569,134350.0,135090.0,344,immaginare
357,a30570,135090.0,135392.0,345,insomma
358,a30571,135392.0,135495.0,346,di
359,a30572,135495.0,135888.0,347,com'era
360,a30573,135888.0,136020.0,348,la+
361,a30574,136020.0,136350.0,349,com'era
362,a30575,136350.0,136460.0,350,la
363,a30576,136460.0,136780.0,351,vita
364,a30577,136780.0,136962.0,352,<breath>
365,a30578,136962.0,137460.0,353,<lp>
366,a30579,137460.0,137621.0,354,in
367,a30580,137621.0,138080.0,355,questo
368,a30581,138080.0,138760.0,356,quartiere
369,a30582,138760.0,139049.0,357,quando
370,a30583,139049.0,139184.0,358,non
371,a30584,139184.0,139315.0,359,era
372,a30585,139315.0,139712.0,360,ancora
373,a30586,139712.0,139816.0,361,di
374,a30587,139816.0,140139.0,362,fatto
375,a30588,140139.0,140190.0,363,un
376,a30589,140190.0,140830.0,364,quartiere
377,a30590,140830.0,141560.0,365,<inspiration>
378,a30591,141560.0,142175.0,366,settecento
379,a30592,142175.0,142320.0,367,anni
380,a30593,142320.0,142520.0,368,fa
381,a30594,142520.0,142880.0,369,<sp>
382,a30595,142880.0,143020.0,370,nel
383,a30596,143020.0,143950.0,371,milletrecento
384,a30597,143950.0,144260.0,372,<sp>
385,a30598,144260.0,144423.0,373,non
386,a30599,144423.0,144830.0,374,so
387,a30600,144830.0,144975.0,375,<sp>
388,a30601,144975.0,145289.0,376,se
389,a30602,145289.0,145880.0,377,<lp>
390,a30603,145880.0,145971.0,378,ti
391,a30604,145971.0,145990.0,379,è
392,a30605,145990.0,146663.0,380,capitato
393,a30606,146663.0,146773.0,381,ti
394,a30607,146773.0,146890.0,382,do
395,a30608,146890.0,147067.0,383,del
396,a30609,147067.0,147370.0,384,tu
397,a30610,147370.0,147673.0,385,di
398,,147673.0,148020.0,385,<ii>
399,a30611,148020.0,148850.0,386,passeggiare
400,a30612,148850.0,148950.0,387,per
401,a30613,148950.0,149053.0,388,le
402,a30614,149053.0,149360.0,389,strade
403,a30615,149360.0,149580.0,390,del
404,a30616,149580.0,150043.0,391,Vomero
405,a30617,150043.0,150530.0,392,oggi
406,a30618,150530.0,150840.0,393,ma
407,a30619,150840.0,151264.0,394,adesso
408,a30620,151264.0,151290.0,395,è
409,a30621,151290.0,151390.0,396,un
410,a30622,151390.0,151907.0,397,quartiere
411,a30623,151907.0,152400.0,398,appunto
412,a30624,152400.0,152710.0,399,molto
413,a30625,152710.0,153453.0,400,animato
414,a30626,153453.0,153580.0,401,ci
415,a30627,153580.0,153790.0,402,sono
416,a30628,153790.0,154070.0,403,molti
417,a30629,154070.0,154586.0,404,negozi
418,a30630,154586.0,154900.0,405,molti
419,a30631,154900.0,155420.0,406,locali
420,a30632,155420.0,156170.0,407,<inspiration>
421,a30633,156170.0,156470.0,408,ma
422,a30634,156470.0,157009.0,409,<eeh>
423,a30635,157009.0,157147.0,410,in
424,a30636,157147.0,157810.0,411,realtà
425,a30637,157810.0,158010.0,412,<sp>
426,a30638,158010.0,158269.0,413,<ehm>
427,a30639,158269.0,158487.0,414,questa
428,a30640,158487.0,158540.0,415,è
429,a30641,158540.0,158630.0,416,una
430,a30642,158630.0,159390.0,417,trasformazione
431,a30643,159390.0,159659.0,418,anche
432,a30644,159659.0,160000.0,419,questa
433,a30645,160000.0,161240.0,420,relativamente
434,a30646,161240.0,161552.0,421,<sp>
435,a30647,161552.0,162260.0,422,recente
436,a30648,162260.0,163073.0,423,<inspiration>
437,a30649,163073.0,163278.0,424,nel
438,a30650,163278.0,164119.0,425,Trecento
439,a30651,164119.0,164310.0,426,<sp>
440,a30652,164310.0,164415.0,427,la
441,a30653,164415.0,164750.0,428,collina
442,a30654,164750.0,164900.0,429,del
443,a30655,164900.0,165374.0,430,Vomero
444,a30656,165374.0,165530.0,431,era
445,a30657,165530.0,165994.0,432,pressoché
446,a30658,165994.0,166660.0,433,disabitata
447,a30659,166660.0,166870.0,434,<sp>
448,a30660,166870.0,167340.0,435,quindi
449,a30661,167340.0,167500.0,436,si
450,a30662,167500.0,167900.0,437,trattava
451,a30663,167900.0,168140.0,438,di
452,a30664,168140.0,168790.0,439,campagna
453,a30665,168790.0,169260.0,440,<lp>
454,a30666,169260.0,169472.0,441,un
455,a30667,169472.0,169990.0,442,luogo
456,a30668,169990.0,171020.0,443,perfetto
457,a30669,171020.0,171683.0,444,<lp>
458,a30670,171683.0,171912.0,445,<tongue-click>
459,a30671,171912.0,172490.0,446,per
460,a30672,172490.0,172590.0,447,i
461,a30673,172590.0,173320.0,448,certosini
462,a30674,173320.0,173768.0,449,<inspiration>
463,a30675,173768.0,173888.0,450,che
464,a30676,173888.0,174830.0,451,naturalmente
465,a30677,174830.0,175920.0,452,cercavano
466,a30678,175920.0,176430.0,453,<lp>
467,a30679,176430.0,176634.0,454,una
468,a30680,176634.0,177058.0,455,vita
469,,177058.0,177657.0,455,<aa>
470,a30681,177657.0,178176.0,456,<breath>
471,a30682,178176.0,178551.0,457,<lp>
472,a30683,178551.0,178702.0,458,<vocal>
473,a30684,178702.0,178810.0,459,di
474,a30685,178810.0,179465.0,460,solitudine
475,a30686,179465.0,179690.0,461,una
476,a30687,179690.0,180070.0,462,vita
477,a30688,180070.0,180960.0,463,appartata
478,a30689,180960.0,181356.0,464,<sp>
479,a30690,181356.0,181906.0,465,<inspiration>
480,a30691,181906.0,182279.0,466,e
481,a30692,182279.0,182740.0,467,<eeh>
482,a30693,182740.0,182910.0,468,il
483,a30694,182910.0,183170.0,469,duca
484,a30695,183170.0,183267.0,470,di
485,a30696,183267.0,183990.0,471,Calabria
486,a30697,183990.0,184290.0,472,<sp>
487,a30698,184290.0,184910.0,473,Carlo
488,a30699,184910.0,185470.0,474,figlio
489,a30700,185470.0,185776.0,475,del
490,a30701,185776.0,186140.0,476,re
491,a30702,186140.0,186810.0,477,Roberto
492,a30703,186810.0,186900.0,478,il
493,a30704,186900.0,187670.0,479,Saggio
494,a30705,187670.0,188130.0,480,<inspiration>
495,a30706,188130.0,188988.0,481,incoraggia
496,a30707,188988.0,189430.0,482,appunto
497,a30708,189430.0,189488.0,483,i
498,a30709,189488.0,190108.0,484,certosini
499,a30710,190108.0,190231.0,485,a
500,a30711,190231.0,190918.0,486,stabilirsi
501,a30712,190918.0,190979.0,487,in
502,a30713,190979.0,191315.0,488,questo
503,a30714,191315.0,191700.0,489,luogo
504,a30715,191700.0,191995.0,490,<sp>
505,a30716,191995.0,192161.0,491,<tongue-click>
506,a30717,192161.0,192334.0,492,<eeh>
507,a30718,192334.0,192441.0,493,a
508,a30719,192441.0,192788.0,494,Napoli
509,a30720,192788.0,192866.0,495,del
510,a30721,192866.0,193512.0,496,Trecento
511,a30722,193512.0,193727.0,497,<vocal>
512,a30723,193727.0,194367.0,498,Roberto
513,a30724,194367.0,194555.0,499,sia
514,a30725,194555.0,195240.0,500,Roberto
515,a30726,195240.0,195400.0,501,che
516,a30727,195400.0,195610.0,502,suo
517,a30728,195610.0,196179.0,503,figlio
518,a30729,196179.0,196563.0,504,<inspiration>
519,a30730,196563.0,196710.0,505,<eeh>
520,a30731,196710.0,197180.0,506,facevano
521,a30732,197180.0,197584.0,507,parte
522,a30733,197584.0,197905.0,508,della
523,,197905.0,198080.0,508,<aa>
524,a30734,198080.0,198620.0,509,dinastia
525,a30735,198620.0,199080.0,510,angioina
526,a30736,199080.0,199257.0,511,quindi
527,a30737,199257.0,199364.0,512,per
528,a30738,199364.0,199513.0,513,una
529,a30739,199513.0,199817.0,514,volta
530,a30740,199817.0,199920.0,515,non
531,a30741,199920.0,200060.0,516,gli
532,a30742,200060.0,200880.0,517,spagnoli
533,a30743,200880.0,201480.0,518,<lp>
534,a30744,201480.0,201620.0,519,a
535,a30745,201620.0,202325.0,520,Napoli
536,a30746,202325.0,202480.0,521,ma
537,a30747,202480.0,202520.0,522,i
538,a30748,202520.0,203350.0,523,francesi
539,a30749,203350.0,204162.0,524,<inspiration>
540,a30750,204162.0,205879.0,525,<ehm>
541,a30751,205879.0,206288.0,526,<sp>
542,a30752,206288.0,206533.0,527,<tongue-click>
543,a30753,206533.0,207198.0,528,<ehm>
544,a30754,207198.0,207651.0,529,quindi
545,a30755,207651.0,208247.0,530,<eeh>
546,a30756,208247.0,208693.0,531,il/
547,,208693.0,208693.0,531,<ll>
548,,208693.0,209725.0,531,/
549,a30757,209725.0,210230.0,532,Carlo
550,a30758,210230.0,210960.0,533,incoraggia
551,a30759,210960.0,211500.0,534,appunto
552,a30760,211500.0,211630.0,535,i
553,a30761,211630.0,212280.0,536,certosini
554,a30762,212280.0,212380.0,537,a
555,a30763,212380.0,213070.0,538,stabilirsi
556,a30764,213070.0,213100.0,539,in
557,a30765,213100.0,213405.0,540,questo
558,a30766,213405.0,213781.0,541,luogo
559,a30767,213781.0,214030.0,542,che
560,a30768,214030.0,214280.0,543,per
561,a30769,214280.0,214690.0,544,l'appunto
562,a30770,214690.0,215317.0,545,essendo
563,a30771,215317.0,215542.0,546,<inspiration>
564,a30772,215542.0,216320.0,547,separato
565,a30773,216320.0,216490.0,548,<sp>
566,a30774,216490.0,216630.0,549,da
567,a30775,216630.0,216830.0,550,tutto
568,a30776,216830.0,216875.0,551,il
569,a30777,216875.0,217100.0,552,resto
570,a30778,217100.0,217280.0,553,della
571,a30779,217280.0,217605.0,554,città
572,a30780,217605.0,217850.0,555,ben
573,a30781,217850.0,217980.0,556,si
574,a30782,217980.0,218680.0,557,prestava
575,a30783,218680.0,219010.0,558,<inspiration>
576,a30784,219010.0,219300.0,559,alla
577,a30785,219300.0,219540.0,560,vita
578,a30786,219540.0,220060.0,561,monacale
579,a30787,220060.0,220816.0,562,<lp>
580,a30788,220816.0,220906.0,563,<tongue-click>
581,a30789,220906.0,220976.0,564,e
582,a30790,220976.0,221474.0,565,quindi
583,a30791,221474.0,221911.0,566,<eeh>
584,a30792,221911.0,222202.0,567,da
585,a30793,222202.0,222500.0,568,il
586,a30794,222500.0,222679.0,569,la+/
587,a30795,222679.0,223207.0,570,<sp>
588,a30796,223207.0,223329.0,571,<tongue-click>
589,a30797,223329.0,223550.0,572,alla
590,a30798,223550.0,224490.0,573,costruzione
591,a30799,224490.0,224620.0,574,di
592,a30800,224620.0,225270.0,575,questo
593,a30801,225270.0,225450.0,576,<sp>
594,a30802,225450.0,226290.0,577,immenso
595,a30803,226290.0,226570.0,578,<sp>
596,a30804,226570.0,227244.0,579,complesso
597,a30805,227244.0,227507.0,580,<inspiration>
598,a30806,227507.0,228540.0,581,contestualmente
599,a30807,228540.0,228690.0,582,lo
600,a30808,228690.0,229036.0,583,vedete
601,a30809,229036.0,229320.0,584,dietro
602,a30810,229320.0,229440.0,585,di
603,a30811,229440.0,229872.0,586,voi
604,a30812,229872.0,230172.0,587,<inspiration>
605,a30813,230172.0,231080.0,588,nasceva
606,a30814,231080.0,231510.0,589,anche
607,a30815,231510.0,231670.0,590,il
608,a30816,231670.0,232590.0,591,Castello
609,a30817,232590.0,232740.0,592,<sp>
610,a30818,232740.0,232860.0,593,che
611,a30819,232860.0,233300.0,594,all'epoca
612,a30820,233300.0,233470.0,595,non
613,a30821,233470.0,233610.0,596,si
614,a30822,233610.0,233810.0,597,*ca+
615,a30823,233810.0,234050.0,598,non
616,a30824,234050.0,234170.0,599,si
617,a30825,234170.0,234880.0,600,chiamava
618,,,,600,<aa>
619,a30826,234880.0,235215.0,601,Castel
620,a30827,235215.0,235800.0,602,Sant'Elmo
621,a30828,235800.0,235970.0,603,come
622,a30829,235970.0,236460.0,604,adesso
623,a30830,236460.0,236600.0,605,ma
624,a30831,236600.0,236890.0,606,era
625,a30832,236890.0,237705.0,607,semplicemente
626,a30833,237705.0,237938.0,608,<inspiration>
627,a30834,237938.0,238367.0,609,chiamato
628,a30835,238367.0,239160.0,610,Belforte
629,a30836,239160.0,239290.0,611,e
630,a30837,239290.0,239450.0,612,non
631,a30838,239450.0,239665.0,613,ha
632,a30839,239665.0,240510.0,614,l'aspetto
633,a30840,240510.0,240823.0,615,<inspiration>
634,a30841,240823.0,241170.0,616,che
635,a30842,241170.0,241580.0,617,vedete
636,a30843,241580.0,242032.0,618,oggi
637,a30844,242032.0,242352.0,619,però
